COSMICClust	COSMICDisp	COSMICNonSig	ExACClust	ExACDisp	ExACNonSig	MultiClust	MultiSeg	MultiCorr
		1DUXC			3HMNA			
		4B8ZB			2EFKA			
		2IIKB			3I8VB			
		1NFAA			2H00A			
		2YU8A			4FWWA			
		1OEYA			3V6CA			
		2YHWA			3VHXB			
		1Q8KA			2WNTA			
		4GGDA			2KSRA			
		3EPPB			2LP0A			
		1UVZB			1VF6B			
		2GK2A			2LE9B			
		2DMIA			2K2CA			
		2ZIXA			2NVUB			
		2BEIB			2Y1HA			
		3UB2A			2BOAB			
		2LGWA			1V89A			
		2YUDA			1UHPA			
		2MIUA			3V8OB			
		1UEMA			3V5LA			
		4GEHD			2KDGA			
		1UECA			2LL2A			
		1USDA			2REIA			
		2KKRA			2P0KA			
		1ZDTB			3O4RB			
		1PVEA			3ICIB			
		3R8QA			3UYJB			
		3L11A			3V53A			
		4IMNA			1SXEA			
		2RFIA			2LGWA			
		3S5LA			3VFQA			
		2C5DC			3IDVA			
		3EWSB			2RGNB			
		2KUOA			1TTXA			
		3QXYA			2R2JA			
		2WEKA			2BB5B			
		3K2AB			2KQSA			
		2ZW3B			2Y0NA			
		1I3DA			2XRIA			
		2A72B			3NW0A			
		3DDTA			1X9NA			
		2EKHA			3FJUA			
		1UHCA			1UPTB			
		2PRTA			2LTMA			
		2Z5DB			2WT8C			
		2RNRB			3LQZA			
		3ZHPA			2MIUA			
		3SDEA			2GO51			
		2BP1C			3GC9A			
		3IHRA			3TH4H			
		3OP5C			2WCYA			
		1BJ4A			1WERA			
		2RB4A			2VSVB			
		4AZ9B			1Z68A			
		1X40A			3VTWC			
		2Q3FB			2JAJB			
		1DEUA			2OCBA			
		2V7OA			1UM7A			
		7PCKC			3FE2B			
		3F8UB			2Y1MF			
		2Z0UB			2LX7A			
		2HA8A			1W1FA			
		3EP0A			3VROA			
		2X4XE			3FXMA			
		2D86A			2KKRA			
		4F7HA			3FBKA			
		2F37B			3L46B			
		2CUPA			3GROA			
		3HY4A			2GK2A			
		2EDYA			3ULLB			
		2OQ5A			1XDVB			
		1UJKB			3V42A			
		2QW4D			3I2NA			
		2MB9A			3VYXA			
		4LX1B			3O3IX			
		4LADB			2LKNA			
		2HLZB			2R3VD			
		3MVBO			3VOQA			
		3BPOB			2WEKA			
		2VOOA			1UHCA			
		1SLMA			2NN6B			
		1CVSC			3THCA			
		1YTQA			3HY8A			
		1BI8B			2LGYA			
		1DGVA			2VX2D			
		2KJEA			3GF9A			
		3WIYF			3URFA			
		4A0DA			2WNUD			
		4LY1C			2NZ2A			
		1E4UA			3U0DD			
		2Z0DA			1YGRB			
		3MOPK			3HR4A			
		2KNTA			4H80E			
		1B4RA			1UEWA			
		2NS2B			2LNBA			
		2CLPI			4GWMA			
		2GW6B			2LCXB			
		3F3SB			2NSUA			
		4DCKA			2LK2A			
		3F3YD			3VOWA			
		2R2JA			2W4OA			
		2J1KK			2LKMB			
		1X5TA			2RELA			
		1EKPB			2K4TA			
		1HCQB			2RJPC			
		2VX2D			1UKLF			
		4F52F			2GW6B			
		4NSCD			3U82B			
		2H5GB			2WTKA			
		3D24C			2RJKA			
		3E2UH			3VVWA			
		2AZEC			2LPNA			
		4BCJA			3G81C			
		2XSZA			1UMKA			
		2MKSA			1VTNC			
		3TZDT			2GZDA			
		2YMKB			3UOMF			
		2JNUA			2JK9A			
		3NBHB			1UHLB			
		4H3KE			2H8KA			
		1DS6B			1TRNA			
		3DTPA			2NT2B			
		1NBQB			1UJSA			
		3VI8A			2V9SA			
		1H0ZA			2YSXA			
		3QUMQ			2LJKA			
		3CW1K			2LNAA			
		3BJCA			2X4DB			
		2DNNA			3FG6B			
		2EDRA			1UGNA			
		3ZD1B			3HRNA			
		3SGJC			2LI8A			
		2H2MA			3UT3D			
		3E3RB			3I7PB			
		2XIKA			2V53A			
		1YG5C			1WF1A			
		3DALA			2V8SV			
		1S9IB			3HF1B			
		2AFTX			3H7HA			
		3KEXA			3O35A			
		2HEHA			2LP1A			
		3LLRA			2Y7BA			
		3PQ1B			1U3BA			
		4JQFA			3U1KD			
		1PQ6D			2LVUA			
		3BIME			3FRSA			
		3RQFA			3MBGC			
		1WHLA			2LMIA			
		2B49A			3QVEC			
		1WWXA			3VPPA			
		2KV3A			2GRCA			
		1ZVDA			2LVCA			
		2K1PA			3I3NB			
		4L45A			2VYTA			
		3U10A			2YRLA			
		2Z0BD			3URFZ			
		3QTZA			3HU6A			
		4KMZA			3UE2A			
		2BK8A			1YO8A			
		1ESLA			2LEBA			
		4HASA			3L4CB			
		2MK2A			2JC2D			
		3OTFA			2H11B			
		1J4WA			3V6MB			
		1C07A			2JQ3A			
		2E9JA			1UEAD			
		2L4RA			2QQMA			
		2EBZA			4II1D			
		1WYNA			3HZJC			
		2D8KA			3O2QA			
		2ACHB			3RPGB			
		2KIUA			3UOAB			
		2JRSA			1X6GA			
		2NZIB			2FE4A			
		1KSNB			3FXTF			
		2PLAB			1WF5A			
		2L43A			3G1NB			
		1T3XA			4IKUA			
		2VD5A			2R13A			
		1QQGA			2WQMA			
		2AFOA			2JZXA			
		1UA2D			2VCYA			
		1GA5F			2LLLA			
		3S9DB			1SRQA			
		2LCRA			2OM5A			
		2ZT7A			2NO2A			
		1YC0A			3UMIA			
		7ICPA			2LC3A			
		3FG7A			2YS9A			
		3TJOD			1UNLB			
		2YUWA			2LULA			
		1U35G			2GFUA			
		3N06B			2J3TB			
		2RNXA			2WL1A			
		3H7HA			2L27A			
		2CQ3A			1UC6A			
		4GJ3A			3TJOD			
		3G76B			2W4LB			
		3IF8B			3O4OB			
		1UITA			2LORA			
		2CPNA			2YQFA			
		1J0WA			3OBQA			
		3II7A			2J6LF			
		1JM7A			3UVHB			
		3TSOB			2XV4S			
		2HE2B			2WIMA			
		1L9LA			3VI3B			
		2CRAA			1WYXB			
		2AYNA			3VWKA			
		3EGIA			2OF5F			
		2LNGA			2BXEB			
		4LUOA			2GLIA			
		1TKIB			3VZDA			
		1W50A			3F1IS			
		2M38A			1SHRB			
		3U12A			3VVWB			
		3PJAL			2V40A			
		2C74B			1UUCA			
		1BLAA			2JILB			
		2ZNEB			3ML5A			
		3L1ZA			2KRRA			
		2V4UA			2LSPB			
		1Y97A			1WF6A			
		3IYPF			2V7OA			
		2ODDA			1UGKA			
		2RJPC			2LXSA			
		3SL9F			2KE4A			
		3COAC			2XWBA			
		3K0WA			3OSEA			
		3ZDKA			3O47A			
		3VW9A			2YS1A			
		3TF2B			1US7B			
		3O46A			3UO9D			
		2XUSA			3ODXA			
		3NF1A			2X8AA			
		2NN6B			2YQIA			
		1V66A			2GF2B			
		1ZNCB			2VZEB			
		1ITQA			1WGXA			
		3KUPD			3H7HB			
		2A2NA			1T2AD			
		1YR5B			2LBCA			
		3RAPR			3H6AA			
		2ATVA			2KRGA			
		4EWIB			3UA5B			
		2VNSB			1UQSA			
		4BOQA			2WQZA			
		1WLXA			4FR4F			
		1B98M			3GDQA			
		2DAZA			2GTPC			
		1OE9B			3V6OB			
		2CRYA			4IHBF			
		2HGMA			2YGQA			
		1CF4B			1U2HA			
		2KK0A			2K8PA			
		2KR6A			1UJTA			
		1HBXD			2L30A			
		2FN4A			2VPDB			
		2KZ5A			2LT7A			
		3F8UC			2YD6A			
		2ES0A			2L51B			
		1JJ7A			3MB3A			
		4DRZA			2GGZA			
		2IFGE			2FS7A			
		1SHRB			4LPKA			
		2EDLA			2L7ZA			
		1FQVG			3H3GA			
		2CLWD			2NN7B			
		2X4FB			1WX6A			
		2X7FC			1TZSA			
		2D9NA			3F81B			
		4AWLC			2JBHA			
		2YTPA			4FQNA			
		1RJ7I			3MPXA			
		2C46B			1TKIB			
		3BO5A			1W7NA			
		2PFNA			2WNGA			
		2E2XA			2LE8A			
		1MSGA			2LUCA			
		4BSJA			3HD6A			
		3YGSP			2GK9A			
		4C0DB			2Y05C			
		3TSZA			2OU2A			
		2WAXA			2Y5BF			
		2WVRB			2YRYA			
		1WGLA			1SZBA			
		4JGHA			2KT0A			
		1QGKB			2X4FB			
		2OB4A			2YRGA			
		2V7CB			3HFHA			
		3PFSB			2XRCA			
		4LG8A			2YQGA			
		3NDQA			2VM5A			
		2DS4A			3NWNA			
		2YUJA			2LNXA			
		2RNQA			2YLEA			
		2D88A			2OQ0B			
		1J1AB			2WVRB			
		3BT1A			3LLRA			
		4CNCB			4IR4A			
		4A9ZC			4IC8A			
		2YSEA			4N5XA			
		2H1SC			1TPGA			
		3DQVD			3GW3A			
		2VH7A			2YHFB			
		2YW5A			3IHXB			
		2EOOA			2YSQA			
		2JILB			2J4OA			
		2L2LA			3IHRA			
		2D8MA			2YDXE			
		3KUZA			1UITA			
		4BTMB			1Z10D			
		3IAIC			2YDJB			
		1V05A			2RD0A			
		2HA1A			4IJQC			
		3CONA			2YBXA			
		1H95A			2YD8A			
		1OVZA			3UM1D			
		3NR5A			2GQMA			
		4F7BB			2YRHA			
		3LAWC			1UJDA			
		3D7CA			1WCHA			
		3MOPH			2LG1A			
		4N1DA			2OPHA			
		3ZWHQ			2K86A			
		3CUQC			2LCRA			
		1JLMA			2G2KA			
		1KQOA			3LDZB			
		00.0C			3OE8B			
		4MD7B			3MXOA			
		2YULA			2KR6A			
		3DREA			2VR2A			
		1Y8XA			2LGRA			
		4HOTA			1WYNA			
		4A1GA			1UE9A			
		3S95B			2Y25B			
		3RN5A			3V4PD			
		2RJKA			2LXUA			
		3NGOA			2GI7A			
		1NLWA			3S5LA			
		1WJ3A			3VLNA			
		2AWFA			2LW4A			
		1A12C			2WA0A			
		2UZGA			2XSTA			
		2KLEA			2FU5A			
		2FBVA			2LQ6A			
		3P2TA			1WRMA			
		1V83B			1N6KA			
		2CT6A			2LE3A			
		3BQQA			3MJGB			
		2WL1A			2KSAA			
		1C9QA			2JIIA			
		3UM1D			3GD7C			
		2D5RB			2YGDJ			
		4BTAB			1UENA			
		2Q4GW			3HBWA			
		4I6XA			3LRAA			
		3TUOB			3GNIB			
		2LGRA			2LNLA			
		3SH5A			2V5EB			
		2Z4FA			3NW0B			
		4KP5D			3H8XA			
		2F60K			3V4JB			
		2JAMB			3IQ2A			
		1R79A			3FBYA			
		3BHHD			2W8RA			
		2L08A			2K2OA			
		2KA6B			2YPDA			
		1WZVB			2LXLA			
		1UJYA			3G65A			
		3BVOB			1UJYA			
		3FE4B			2R83B			
		2L0FB			3HEIB			
		1LG4A			2L6AA			
		2J4OA			1WWXA			
		2QMSA			3O46A			
		3I3TG			2V90E			
		3D4JA			4IJDA			
		2DNKA			2YRPA			
		3HMNA			1NB3I			
		4FU4D			1TAZA			
		3PD7B			1WJIA			
		2EV8A			1WIEA			
		3A2AC			3IHWA			
		2LCMA			2Y7JD			
		3PZ7A			3SDEB			
		2FGIA			3EZQC			
		3RPGC			1WRYA			
		4HZSB			3FZTA			
		4FLAC			1SVCP			
		2VWMA			2X7FC			
		2KKWA			1WXPA			
		1A9WF			2NMSA			
		2YPRB			3S4EA			
		1WGRA			3NWVD			
		3TGXC			2YS2A			
		1WYOA			1NBQB			
		2YTYA			2YRQA			
		2EAPA			3ME9B			
		2YANA			2LOMA			
		2HUPA			3GUTC			
		2REPA			1WIMA			
		1RHFB			2XAHA			
		1O9AA			2XRFC			
		4CH9B			1WIGA			
		3GV7B			1SO2D			
		1L4TA			1UUHB			
		2XMLB			3LQ3A			
		2DA2A			4GL2B			
		2C6BA			1WYQA			
		1WYXB			1MX2A			
		2KYGC			2YANA			
		2K86A			2Y33A			
		2HLQA			3MFTA			
		1JLJB			3VKMA			
		3SI5B			1W98B			
		2DASA			1NFIE			
		3FN3A			4GULA			
		2DIBA			2JDRA			
		3JYHA			1VJBB			
		4CFFB			4FZSB			
		4ILWF			3FGAD			
		1O7BT			1UG3A			
		1KSWA			1WWYA			
		2X29A			3F8UB			
		1NR4C			2NLWA			
		2DMBA			2JIFA			
		2AR5A			3NW6A			
		1RLYA			3VBBE			
		4BOUA			2X6UA			
		3ME9B			1BLAA			
		3EYCC			3F6UH			
		2CE8C			3H3SB			
		2LG1A			3MAOA			
		1UJVA			3GVPC			
		3ES6B			3KCIA			
		2DZRA			2WYAC			
		1NHLA			2W3CA			
		3OWBA			2Y6ED			
		1J8EA			2KAXB			
		1EHWA			1UA2D			
		1Q68B			2JDFA			
		2D0JA			3VW7A			
		1PT6B			3KGRB			
		3S9DC			2VHFB			
		2YGQA			2HZ5B			
		2VSVB			3FM8A			
		1VCAA			3GUBA			
		2HF6A			1WK0A			
		1GK4A			1W0BA			
		3KCIA			1FB8A			
		1X2QA			3IUGB			
		2O13A			1WXMA			
		2J0FA			3G04C			
		2HM2Q			3T1IC			
		1NUTB			2VH7A			
		2IZSA			2GJXG			
		2KAXB			3F1IH			
		2YGDJ			4ICKB			
		1X3BA			2YD9A			
		2DJ7A			3LQ9A			
		2B6FA			3FMPC			
		1KT0A			2LEJA			
		1J1ED			3N9VB			
		3E4CA			2LQTA			
		2WTKA			2KAVA			
		1SRQA			2HE9A			
		3HK0B			2YSEA			
		2F4WB			2XUEA			
		3W1WA			1WIZA			
		3FDTA			3KFQA			
		3P4FA			3S9DC			
		3UE2A			1ERVA			
		3EWFA			2V9RA			
		2CH0A			2X5YA			
		2ODTX			4IE2A			
		3G65A			1WY8A			
		3FD5A			3RJWA			
		1UNLB			3UT1A			
		2GRRB			1WFGA			
		3BORA			3KFDJ			
		1UNHD			3F1PB			
		2HEVF			4FU4B			
		3DJUB			1UEYA			
		1Z29A			2FMME			
		2M59A			2WFDB			
		2HWXA			3II0C			
		1YX6A			3I4WD			
		3Q2GB			3IHLA			
		2L33A			1TWQA			
		2V9RA			1WX7A			
		1HE3A			3GIXA			
		3RK2H			4GNKB			
		4C0AB			1RV6W			
		2BJNB			2YSTA			
		1PC2A			2QTLA			
		2C7AA			1WJ4A			
		3E0JH			3IXEB			
		2OZLA			3MQ4A			
		1JOCB			1UW4C			
		1NUNA			1WHMA			
		3BFXA			2YQMA			
		2DKUA			2W0UC			
		4NNRB			1SYXA			
		2LNBA			4N68A			
		1SHYA			2LLTA			
		3IU2A			2H61A			
		1O8RA			3FE4B			
		4EA3B			1S1NA			
		2D9BA			3GWXA			
		3HCSB			1WH0A			
		3ZHFA			2Y4IB			
		3KTVB			2XVSA			
		2CQUA			3KB5A			
		4A69A			2G2BA			
		2LY9A			4IRQB			
		3WAAF			1UX6A			
		1VF6B			3I8EA			
		2EPPA			1WL4A			
		1BIKA			3LKXA			
		3EDVB			2DJVA			
		1Z0AA			1FOEB			
		4HC4A			2OEHA			
		2I2RH			3LXCA			
		1UG3A			4IIRA			
		2ECBA			1NFBB			
		1Z4RA			2I38A			
		2EK1B			2OKKA			
		2KG5A			4IG8A			
		2YBXA			2LOSA			
		3PG6A			2FP0B			
		1X6EA			2WEFA			
		1K5GB			2J76E			
		3SAGB			2FCBA			
		2L0YA			3F7GB			
		2COPA			2XZEA			
		2DNXA			2HGMA			
		3BPTA			2VGQA			
		4BJ3B			2GL7A			
		1UWYA			3TL5A			
		2OYTA			3PP2A			
		1LB6A			1U7TC			
		3BBPD			3FDLB			
		3ZJDA			3LXXA			
		2DJVA			2FIMA			
		1QKQA			1SHYA			
		4OE5D			2Y3IA			
		2ERJF			1S9CC			
		1LSLA			3V6AA			
		2R13A			1WSVA			
		2NO3A			3VI8A			
		2PF6A			1VOLA			
		3DZFF			1WFMA			
		3DBRA			4JA8B			
		1L9XA			2H63D			
		2EQ3A			2JLLA			
		1K05C			2WH5B			
		3T6AC			1RN7A			
		3OG4B			3RMUB			
		3DXCB			1UVZB			
		1O80A			3GV7B			
		2UZ8A			1UNHD			
		1X4VA			2YN8A			
		3L82B			2LWIA			
		3ISQA			3P0CA			
		2CTTA			2H80A			
		2DSRG			3JTSE			
		2YUHA			2JJDC			
		2V40A			2DL5A			
		1SVCP			1W6UB			
		2CSAA			2FV2A			
		1WOJA			1T3GB			
		3PDFA			1WYRA			
		3V6CA			2K2MA			
		1HNFA			2CSZA			
		4ADFK			2FN4A			
		2Y1XB			2W5AA			
		3TNUB			2WWYB			
		4MSVA			2XY9A			
		2W3CA			1N0WA			
		4LD6A			4NQKC			
		2J4EE			2LFEA			
		2I3CA			2X7GA			
		3C6KD			1W0SC			
		2ENKA			2YPAA			
		2DKXA			2Y5LC			
		2ED1A			3IHYA			
		4KBSB			1T77A			
		3II0C			1W8MA			
		1A02N			2OKNA			
		2CS8A			2H57C			
		3G9VC			2KR0A			
		1IURA			3FAYA			
		2CTOA			3NF1A			
		4LI0D			1WYOA			
		3FMPC			3F70A			
		2P57A			1WFQA			
		3AY5A			2FZEB			
		2CP6A			3S97C			
		3H95A			4HPLA			
		2WNPF			2HKYA			
		4KZZn			2YPRB			
		3O7XD			2JA3D			
		1FXLA			2FJ9A			
		4H10A			3IBJB			
		2H2RA			2WM3A			
		4FXFB			3M66A			
		2EBPA			1WGOA			
		2GAOB			1SOSE			
		3P0CA			3G9VC			
		4GO6B			3W14F			
		2QFZB			1UW4B			
		2D9DA			2DIBA			
		2JQ6A			3LE4A			
		2GJXG			2YRBA			
		2E9KA			1WILA			
		3VTWC			3W1GA			
		2EFKA			3GTUB			
		3DYDA			2Y96A			
		2LB2A			3O8ED			
		4MXVA			3PYCA			
		2CQEA			1WELA			
		4MQ2D			3L50A			
		2JDRA			1RRJA			
		1D5VA			3MOPH			
		2XYNB			2YHOB			
		1EL0A			3IAIC			
		2VCTE			1TG6F			
		3A4OX			1UZPA			
		1DE4G			2NLKA			
		3TWRB			2KKQA			
		2ZKSA			1W6JA			
		4KU8A			3RN5A			
		1FEWA			1N83A			
		2OX0A			3N50D			
		2CR4A			3KJOA			
		4ACHA			2JISB			
		3OSEA			1S9IB			
		2EDIA			1RRPD			
		4A1HC			2OBDA			
		3C5WP			3S95B			
		2LA5B			2VCTE			
		2G4CA			3O10B			
		2DMEA			2K60A			
		3LUEF			3KKAA			
		2F8XC			2YLMA			
		2M5VA			3G5CB			
		3L5WJ			2I46A			
		3GNIB			3NEYB			
		4M7HB			1K2PA			
		4G84A			1MZDA			
		3RMUB			4G8AA			
		2V9KA			2YHOC			
		4IQYA			2FGIA			
		3B6VA			3MX0D			
		1TG6F			3UX3B			
		4C6FA			3NXPA			
		1UX6A			3N8IA			
		4BBMA			3GCXP			
		3C5CC			3FD5A			
		3QE9Y			3GCWA			
		2Z5FB			3RSWA			
		3ZJBB			1UNCA			
		2RNFB			1NHLA			
		2RORA			3OP3A			
		2YY0D			2HUPA			
		2FYTA			3IW4C			
		1YRVA			2GTRB			
		2EE0A			3GXMA			
		3CMYA			3IEZA			
		1WCHA			2X8BA			
		4BEJA			2FBVA			
		3DPRE			3SGJC			
		4KC9A			2LOTA			
		2YPAA			4O2WC			
		1X79B			3NYOA			
		1NFBB			3HKVA			
		1BNDA			3K2JA			
		2BWGC			4JONB			
		1XQRB			2I2RH			
		3P23A			3IF8A			
		1T2AD			1WFNA			
		4KS7A			2YF0A			
		2CPDA			3LRQC			
		2UURA			3LMKA			
		2CREA			3NAUA			
		4GA7A			3G4HB			
		3EGAA			3GD8A			
		1WWYA			1WYMA			
		2X2MB			1TH1C			
		1IMVA			2OBHB			
		1PBWB			2FI2A			
		3B97B			2LQLA			
		1KB4B			3IV1G			
		3BQ7B			1FEWA			
		1KGDA			3LUIA			
		3HLTC			2V66D			
		3RGHA			3L2PA			
		2ZU6D			1IVHA			
		3VKMA			1WGMA			
		3A8YA			1W50A			
		2CSPA			2Y9TA			
		3FG6B			2LNIA			
		2IRWC			2W4RB			
		1V16A			3ORHC			
		2Y7BA			3G0FB			
		1AYEA			2LQNA			
		3L43A			3SF4B			
		2ERXA			3FCXA			
		4DOUA			3G73B			
		2EFLA			3NERB			
		3MCFB			3KEUB			
		3B94A			2JKVA			
		2F8VA			1WWTA			
		3ZJCB			1WJMA			
		2CSQA			3RHKB			
		2X57A			1WPQB			
		1Q9CE			2H7TA			
		2YD8A			3L82A			
		1XKEA			3N3FB			
		2P8UB			2OCWA			
		3KYOA			3HLTC			
		3OL2B			2K6GA			
		2Z0VA			2I3YA			
		3CEGA			1EVSA			
		1H9OA			3FUKA			
		2DNLA			3L43A			
		2YRBA			2I6AD			
		2D7MA			4HC4A			
		1WYPA			1UEQA			
		2DQ7X			3H8MB			
		1MSVA			1ZLGA			
		4MLEA			3KH0B			
		2P82A			3JUEB			
		4J15A			1N3LA			
		2LGXA			2LZ1A			
		2AX4D			3IFAB			
		3MQPA			3H8VA			
		1L1OC			4IEJA			
		1XCGB			1WR6D			
		1O1VA			3I4RB			
		1LN3A			3L4HA			
		3EAYA			2FG5A			
		3E0JE			1F9PA			
		1UW4B			2GWFE			
		4IARA			1SL6F			
		2H00A			2V70C			
		3K05B			3QWEA			
		1GXEA			3VN4A			
		4L6QA			3IU2A			
		2B0UD			2X4XE			
		1ZD8A			2WALA			
		4LI0B			1WH1A			
		4IRGA			1WUNT			
		3K1ZA			2HE2B			
		3V42A			1NTYA			
		4AG4A			2H5GB			
		2IF7D			4C29A			
		4LG6A			2JXCA			
		2H7TA			3O8VA			
		3LFVB			3RZUD			
		2CRMA			4MXWR			
		4M0AA			2YPSB			
		2R83B			2V7CB			
		2VKCA			1UW5D			
		3O96A			2H2MA			
		2WEFA			2I7KA			
		1ZEDA			2KUPA			
		1NR1C			2DK3A			
		1FOSE			3OMKA			
		2W86A			1Z7ZI			
		2FBEC			3KEXA			
		1W24A			3NA0B			
		3B6UA			3HK0B			
		4GGFU			3O0ZC			
		2ZFUA			3HJUA			
		3W7RA			2JXDA			
		2PFRA			1SKOA			
		1W0SC			4CKRA			
		2A1XA			1UZCA			
		3E1YA			2HH2A			
		3FUKA			3KFVA			
		1DV8A			4IFSA			
		3DDUA			2I7AA			
		2W2JA			3N1GC			
		1K1AA			3HFWA			
		4GJ7B			2DINA			
		1BNLD			2LY9A			
		2ZMFA			3F9YA			
		3LDLB			1WHLA			
		2YSTA			3N1QD			
		4B4OH			4IDOB			
		4NY0B			1TVGA			
		4DERA			2GWHB			
		2QV2A			3PH9A			
		1Z5WA			1ESLA			
		2DYBB			4IM6A			
		2I3YA			3OP5C			
		4O7QA			3ULVA			
		4EYJA			3LPWB			
		3P1IC			4N4FA			
		2G76B			1LV2A			
		2J6LF			2J67A			
		3H7HB			3HMHA			
		1MKJA			2K1VA			
		1V27A			2VIFA			
		2C6UA			1WOJA			
		2DAVA			2YRAA			
		1G55A			2FICB			
		2D9QB			1BNDA			
		2Q8HA			3RRUA			
		2WQZA			2LGXA			
		1WPQB			4AEJB			
		3REPA			4N48A			
		3CNKA			3H5CB			
		3W82B			2VAFA			
		2NN2A			1U7FC			
		2WCYA			3QU6C			
		4KKIA			3RCDA			
		3R01A			3V5WA			
		2JJDC			4H6YA			
		4IC8A			2NPPA			
		1X4GA			4HB4A			
		2A8HA			1TUZA			
		1LARB			2GCOA			
		1ZCMA			3IQ7A			
		4DOHA			3KG5B			
		3P1JD			2WAXA			
		2EBTA			4J2CC			
		2KOYA			3GGSB			
		3Q7QB			4KGHB			
		1ND7A			3F7PC			
		2WFHB			3GQCC			
		2D7NA			1SG4A			
		4N48A			2DJ0A			
		3CJWA			3QXMB			
		3IGUA			1TZNl			
		3DEMA			2QQKA			
		2OOQB			3SN5B			
		3FAYA			2DJSA			
		1W6UB			3Q2TD			
		1TZSA			2YBTB			
		2QZ4A			1T2FC			
		2NYLB			3LYRA			
		1KZZA			2YTPA			
		2HQ6A			2WTKC			
		2P01A			3HAJA			
		2EEFA			1FOSE			
		1ONQC			1RQDB			
		3EAPC			1WMKH			
		4J5WA			4J8SA			
		1ZXNB			3II7A			
		3GQCC			3J2QB			
		2XT3A			1U7VC			
		3V33B			2GE9A			
		3MJGX			4IFPB			
		3TXOA			4IE5A			
		4LCEA			2VN8A			
		3O4OB			1O9AA			
		1X3SA			3S9DB			
		2KGTA			2NN6C			
		1AS4A			3K9JA			
		4BKXA			3V4VA			
		3SDLC			1G2TA			
		1UPQA			2H2RA			
		1KO6A			4HN2A			
		3T5XA			3RQ4A			
		4NQKC			3F62B			
		1WUNT			4NN2A			
		2J5WA			4IMNA			
		1ELKA			4NY0B			
		2Q5EC			3M1NA			
		2FS7A			3OGJD			
		2YUXA			3IWPH			
		3QXMB			2G9OA			
		4EKGA			1WLJA			
		2YUZA			1WISA			
		1FOEB			2XWBH			
		3UN9A			2HUZB			
		2EAOA			2I6KB			
		2OVJA			3OPEA			
		3LC4A			4HPLB			
		3D9IA			1WBPA			
		2YGGA			3NVQE			
		4CC9A			3Q18B			
		2ZOCB			3OB9B			
		2C0JA			1WJPA			
		3S2KA			4HSAA			
		2FH7A			1A28A			
		1KHBA			3J2QA			
		2M3OW			3FDTA			
		1G13C			2G4CA			
		4AEJB			4GQSC			
		1UW5D			1LGQB			
		3AQQA			3LL8C			
		4DB1A			3K6GC			
		3QMKA			4HOUA			
		2CRPA			3PB9X			
		3QBVB			2YQRA			
		2CSSA			2LRRA			
		1WFMA			3IECB			
		2WSLA			4HHVA			
		3D68C			1L4TA			
		3A98A			3LHRA			
		4FU4B			1UV0A			
		3OHVF			3Q3JA			
		2QK4A			1NCVA			
		3ECMA			3LHMA			
		1ZKCA			2YMKB			
		2Q53A			3OX6B			
		2F3ME			3RL8E			
		4AQIA			4HFGA			
		4HTIA			1NRVA			
		3SM9A			1WRDA			
		3SEAA			2GAOB			
		1SU3A			1WIOB			
		2W4LB			3CFVA			
		3BN3B			3LBXB			
		1BHGA			3IEIG			
		2V53A			2WK3B			
		3DPEA			3HFVA			
		1WL4A			1N0ZA			
		2ACUA			4KZXl			
		3CCZB			3VI4A			
		2BXEB			2P23B			
		2EC1A			3IARA			
		2FY5A			e+17A			
		2O3DA			3MCFB			
		3IHLA			4CEKA			
		4BQMA			2DICA			
		1U7VC			2I3BA			
		4GQSC			2OPGB			
		3IO2A			1TOZA			
		1UAPA			2I5FA			
		2DJ0A			3QUMQ			
		3SE2A			2H32A			
		3NKXA			2YOBA			
		1OQYA			2VYIA			
		3C5HA			1SBXA			
		3BE1A			3O96A			
		3CYNC			4HXIA			
		1HK0X			2HF6A			
		2WNOA			3MDIA			
		2JZXA			3US4A			
		3F0WA			4IGGA			
		2VZEB			1MZWA			
		4GWMA			3P4FA			
		3RRQA			4FPAA			
		3GW3A			2GRYA			
		2BQ0A			4HLQE			
		2YT4A			3II6X			
		2CPYA			3K2IA			
		4EC8B			1UJVA			
		3V83D			3N2NE			
		4BKFC			3OOIA			
		1PSIA			2CT2A			
		1FGUB			2OVCA			
		1J72A			3PRYA			
		3O10B			1N8SA			
		4AOWC			3MOPK			
		1WGOA			3P23A			
		1BR9A			6JDWA			
		3IHXB			4MPMA			
		2P0KA			2G6BA			
		1V5WB			2FUND			
		2A8JA			3II6C			
		1Z68A			1WI1A			
		3NVQE			4CCGB			
		1M6DB			3NOIA			
		3OJYA			4LVTB			
		2QTLA			2GF0A			
		1ITBB			2LCEA			
		2E8NA			3IT8C			
		2P02A			3PHDA			
		2WWEA			1KSWA			
		2V55D			2DL6A			
		1HVEA			1GH2A			
		3L2PA			2C6FA			
		3AGZA			4NF9A			
		2D4CC			2FDBM			
		2OS6A			1S35A			
		4DAYA			3MTRA			
		3OGJD			2KDPA			
		2REIA			2JRFA			
		4MSPB			2YT4A			
		4HXIA			1NTGB			
		1UCVA			4CAIC			
		1JPYA			4NDGA			
		2F57A			2I1NA			
		1JN5B			1D4TA			
		4AELB			3GHGA			
		3BDLA			1WWCA			
		3UA8A			2R02A			
		1JFNA			1K05C			
		2ID5D			2FUEA			
		3OJYB			4K8AB			
		3G33A			2DMGA			
		3MBGC			4HZSB			
		3KBTB			1FO3A			
		4LP5A			1L2ZB			
		2NSMA			1N3HA			
		3IT8C			1UDWA			
