structid	chain	unp
2BWG	D	P36959
2BWJ	A	Q9Y6K8
2BWJ	B	Q9Y6K8
2BWJ	C	Q9Y6K8
2BWJ	D	Q9Y6K8
2BWJ	E	Q9Y6K8
2BWJ	F	Q9Y6K8
2BX6	A	O75695
2BX8	A	P02768
2BX8	B	P02768
2BXA	A	P02768
2BXA	B	P02768
2BXB	A	P02768
2BXB	B	P02768
2BXC	A	P02768
2BXC	B	P02768
2BXD	A	P02768
2BXD	B	P02768
2BXE	A	P02768
2BXE	B	P02768
2BXF	A	P02768
2BXF	B	P02768
2BXG	A	P02768
2BXG	B	P02768
2BXH	A	P02768
2BXH	B	P02768
2BXI	A	P02768
2BXK	A	P02768
2BXL	A	P02768
2BXM	A	P02768
2BXN	A	P02768
2BXO	A	P02768
2BXP	A	P02768
2BXQ	A	P02768
2BXR	A	P21397
2BXR	B	P21397
2BXS	A	P21397
2BXS	B	P21397
2BXT	H	P00734
2BXT	L	P00734
2BXU	H	P00734
2BXU	L	P00734
2BXV	A	Q02127
2BXW	A	P52565
2BXW	B	P52565
2BYB	A	P27338
2BYB	B	P27338
2BYD	A	Q9NRN7
2BYE	A	Q9P212
2BYF	A	Q9P212
2BYG	A	Q15700
2BYH	A	P07900
2BYI	A	P07900
2BYJ	A	P04181
2BYJ	B	P04181
2BYJ	C	P04181
2BYL	A	P04181
2BYL	B	P04181
2BYL	C	P04181
2BZ2	A	P18615
2BZ5	A	P07900
2BZ5	B	P07900
2BZ6	H	P08709
2BZ6	L	P08709
2BZ8	A	Q96B97
2BZ8	B	Q96B97
2BZ8	C	Q13191
2BZE	A	Q92541
2BZF	A	O75531
2BZG	A	P51580
2BZH	B	P11309
2BZI	B	P11309
2BZJ	A	P11309
2BZK	B	P11309
2BZL	A	Q15678
2BZM	A	P08603
2BZN	A	Q9P2T1
2BZN	B	Q9P2T1
2BZN	C	Q9P2T1
2BZN	D	Q9P2T1
2BZN	E	Q9P2T1
2BZN	F	Q9P2T1
2BZN	G	Q9P2T1
2BZN	H	Q9P2T1
2BZS	A	P16083
2BZS	B	P16083
2BZX	A	P46109
2BZY	A	P46109
2BZY	B	P46109
2BZZ	A	P10153
2C01	X	P10153
2C02	A	P10153
2C05	A	P10153
2C0C	A	Q8N4Q0
2C0C	B	Q8N4Q0
2C0I	A	P08631
2C0I	B	P08631
2C0J	A	O43617
2C0J	B	O75865
2C0L	A	P50542
2C0L	B	P22307
2C0M	A	P50542
2C0M	B	P50542
2C0M	C	P50542
2C0M	F	P50542
2C0O	A	P08631
2C0O	B	P08631
2C0T	A	P08631
2C0T	B	P08631
2C0Y	A	P25774
2C10	A	Q16853
2C10	B	Q16853
2C10	C	Q16853
2C10	D	Q16853
2C11	A	Q16853
2C11	B	Q16853
2C11	C	Q16853
2C11	D	Q16853
2C1A	I	P61925
2C1B	I	P61925
2C1E	A	P42574
2C1E	B	P42574
2C1J	A	P63104
2C1J	B	P63104
2C1J	C	P68431
2C1J	D	P68431
2C1N	A	P63104
2C1N	B	P63104
2C1N	C	P68431
2C1N	E	P68431
2C23	A	P31946
2C2H	A	P60763
2C2H	B	P60763
2C2K	A	P42574
2C2K	B	P42574
2C2L	E	P07900
2C2L	F	P07900
2C2L	G	P07900
2C2L	H	P07900
2C2M	A	P42574
2C2M	B	P42574
2C2N	A	Q8IVS2
2C2N	B	Q8IVS2
2C2O	A	P42574
2C2O	B	P42574
2C2S	A	P00374
2C2S	B	P00374
2C2T	A	P00374
2C2T	B	P00374
2C2V	B	P61088
2C2V	C	Q13404
2C2V	E	P61088
2C2V	F	Q13404
2C2V	H	P61088
2C2V	I	Q13404
2C2V	K	P61088
2C2V	L	Q13404
2C2Z	A	Q14790
2C2Z	B	Q14790
2C30	A	Q9NQU5
2C35	A	O15514
2C35	B	P62487
2C35	C	O15514
2C35	D	P62487
2C35	E	O15514
2C35	F	P62487
2C35	G	O15514
2C35	H	P62487
2C3I	B	P11309
2C3J	A	O14757
2C3K	A	O14757
2C3L	A	O14757
2C43	A	Q9NRN7
2C46	A	O60942
2C46	B	O60942
2C46	C	O60942
2C46	D	O60942
2C47	A	P78368
2C47	B	P78368
2C47	C	P78368
2C47	D	P78368
2C4F	H	P08709
2C4F	L	P08709
2C4F	T	P13726
2C4F	U	P13726
2C4G	A	P24941
2C4G	B	P20248
2C4G	C	P24941
2C4G	D	P20248
2C4J	A	P28161
2C4J	B	P28161
2C4J	C	P28161
2C4J	D	P28161
2C4P	A	P51668
2C4P	B	P51668
2C52	B	Q15788
2C5D	A	Q14393
2C5D	B	Q14393
2C5D	C	P30530
2C5D	D	P30530
2C5L	A	P01112
2C5L	B	P01112
2C5L	C	Q9P212
2C5L	D	Q9P212
2C5N	A	P24941
2C5N	B	P20248
2C5N	C	P24941
2C5N	D	P20248
2C5O	A	P24941
2C5O	B	P20248
2C5O	C	P24941
2C5O	D	P20248
2C5V	A	P24941
2C5V	B	P20248
2C5V	C	P24941
2C5V	D	P20248
2C5X	A	P24941
2C5X	B	P20248
2C5X	C	P24941
2C5X	D	P20248
2C5Y	A	P24941
2C60	A	Q99759
2C62	A	P53999
2C62	B	P53999
2C63	A	Q04917
2C63	B	Q04917
2C63	C	Q04917
2C63	D	Q04917
2C64	A	P27338
2C64	B	P27338
2C65	A	P27338
2C65	B	P27338
2C66	A	P27338
2C66	B	P27338
2C67	A	P27338
2C67	B	P27338
2C68	A	P24941
2C69	A	P24941
2C6A	A	Q00987
2C6B	A	Q00987
2C6C	A	Q04609
2C6D	A	O14965
2C6E	A	O14965
2C6E	B	O14965
2C6F	A	P12821
2C6F	B	P12821
2C6G	A	Q04609
2C6I	A	P24941
2C6K	A	P24941
2C6L	A	P24941
2C6M	A	P24941
2C6N	A	P12821
2C6N	B	P12821
2C6O	A	P24941
2C6P	A	Q04609
2C6Q	A	Q9P2T1
2C6Q	B	Q9P2T1
2C6Q	C	Q9P2T1
2C6Q	D	Q9P2T1
2C6Q	E	Q9P2T1
2C6Q	F	Q9P2T1
2C6Q	G	Q9P2T1
2C6Q	H	Q9P2T1
2C6T	A	P24941
2C6T	B	P20248
2C6T	C	P24941
2C6T	D	P20248
2C6U	A	Q9P126
2C6Y	A	Q01167
2C6Y	B	Q01167
2C70	A	P27338
2C70	B	P27338
2C72	A	P27338
2C72	B	P27338
2C73	A	P27338
2C73	B	P27338
2C74	A	Q04917
2C74	B	Q04917
2C75	A	P27338
2C75	B	P27338
2C76	A	P27338
2C76	B	P27338
2C7A	A	P06401
2C7A	B	P06401
2C7H	A	Q7Z6E9
2C7M	A	Q9UJ41
2C7N	A	Q9UJ41
2C7N	C	Q9UJ41
2C7N	E	Q9UJ41
2C7N	G	Q9UJ41
2C7N	I	Q9UJ41
2C7N	K	Q9UJ41
2C7S	A	Q15262
2C7W	A	P49765
2C7W	B	P49765
2C8I	E	P08174
2C8Q	A	P01308
2C8Q	B	P01308
2C8R	A	P01308
2C8R	B	P01308
2C8W	A	P00734
2C8W	B	P00734
2C8X	A	P00734
2C8X	B	P00734
2C8Y	A	P00734
2C8Y	B	P00734
2C8Z	A	P00734
2C8Z	B	P00734
2C90	A	P00734
2C90	B	P00734
2C93	A	P00734
2C93	B	P00734
2C95	A	P00568
2C95	B	P00568
2C9A	A	P28827
2C9H	A	Q9NWU1
2C9O	A	Q9Y265
2C9O	B	Q9Y265
2C9O	C	Q9Y265
2C9S	A	P00441
2C9S	F	P00441
2C9U	A	P00441
2C9U	F	P00441
2C9V	A	P00441
2C9V	F	P00441
2C9W	A	O14508
2C9W	B	Q15370
2C9W	C	Q15369
2C9Y	A	P54819
2CA2	A	P00918
2CAB	A	P00915
2CAN	A	P04181
2CAN	B	P04181
2CAN	C	P04181
2CAR	A	Q9BY32
2CAR	B	Q9BY32
2CB5	A	Q13867
2CB5	B	Q13867
2CB8	A	P07108
2CB8	B	P07108
2CBA	A	P00918
2CBB	A	P00918
2CBC	A	P00918
2CBD	A	P00918
2CBE	A	P00918
2CBL	A	P22681
2CBL	B	P43403
2CBS	A	P29373
2CBZ	A	P33527
2CCH	A	P24941
2CCH	B	P20248
2CCH	C	P24941
2CCH	D	P20248
2CCH	E	Q99741
2CCH	F	Q99741
2CCI	A	P24941
2CCI	B	P20248
2CCI	C	P24941
2CCI	D	P20248
2CCI	F	Q99741
2CCI	I	Q99741
2CCQ	A	Q96IV0
2CCS	A	P07900
2CCT	A	P07900
2CCU	A	P07900
2CDR	A	P42574
2CDR	B	P42574
2CDZ	A	O96013
2CE2	X	P01112
2CE8	A	Q04724
2CE8	B	Q04724
2CE8	C	Q04724
2CE8	D	Q04724
2CE9	A	Q04724
2CE9	B	Q04724
2CE9	C	Q04724
2CE9	D	Q04724
2CEF	A	P13726
2CEH	A	P13726
2CEI	A	P02794
2CEO	A	P05543
2CEO	B	P05543
2CEU	A	P01308
2CEU	B	P01308
2CEU	C	P01308
2CEU	D	P01308
2CEZ	A	P13726
2CF8	H	P00734
2CF8	L	P00734
2CF9	H	P00734
2CF9	L	P00734
2CFH	A	O43617
2CFH	B	O43617
2CFH	C	Q86SZ2
2CFH	D	Q86SZ2
2CFI	A	O75891
2CFJ	A	P13726
2CFR	A	Q96GD0
2CFS	A	Q96GD0
2CFT	A	Q96GD0
2CFV	A	Q12913
2CFY	A	Q16881
2CFY	B	Q16881
2CFY	C	Q16881
2CFY	D	Q16881
2CFY	E	Q16881
2CFY	F	Q16881
2CG5	A	Q9NRN7
2CG5	B	P49327
2CG6	A	P02751
2CG7	A	P02751
2CGN	A	Q9NWT6
2CGO	A	Q9NWT6
2CGU	A	O14757
2CGV	A	O14757
2CGW	A	O14757
2CGX	A	O14757
2CH0	A	Q9Y2U8
2CH5	A	Q9UJ70
2CH5	B	Q9UJ70
2CH5	C	Q9UJ70
2CH5	D	Q9UJ70
2CH6	A	Q9UJ70
2CH6	B	Q9UJ70
2CH6	C	Q9UJ70
2CH6	D	Q9UJ70
2CH9	A	O76096
2CHI	A	P02794
2CHL	A	Q9Y6M4
2CHM	A	Q07343
2CHW	A	P48736
2CHX	A	P48736
2CHZ	A	P48736
2CI8	A	P16333
2CI9	A	P16333
2CI9	B	P16333
2CIA	A	O43639
2CIH	A	P02794
2CII	B	P61769
2CIJ	A	Q04609
2CIK	B	P61769
2CIK	C	P33260
2CJI	A	P00742
2CJI	B	P00742
2CJM	A	P24941
2CJM	B	P20248
2CJM	C	P24941
2CJM	D	P20248
2CJW	A	P55040
2CJW	B	P55040
2CJX	A	P42574
2CJX	B	P42574
2CJY	A	P42574
2CJY	B	P42574
2CJZ	A	P54829
2CKA	A	Q9HCK8
2CKC	A	Q9P2D1
2CKE	A	Q9UIK4
2CKE	B	Q9UIK4
2CKE	C	Q9UIK4
2CKE	D	Q9UIK4
2CKG	A	Q9P0U3
2CKG	B	Q9P0U3
2CKH	A	Q9P0U3
2CKH	B	P61956
2CKJ	A	P47989
2CKJ	B	P47989
2CKJ	C	P47989
2CKJ	D	P47989
2CKK	A	O60870
2CKO	A	P35790
2CKO	B	P35790
2CKP	A	P35790
2CKP	B	P35790
2CKQ	A	P35790
2CKQ	B	P35790
2CKU	A	P02751
2CL0	X	P01112
2CL3	A	O43809
2CL6	X	P01112
2CL7	X	P01112
2CLC	X	P01112
2CLD	X	P01112
2CLP	A	O95154
2CLP	B	O95154
2CLP	C	O95154
2CLP	D	O95154
2CLP	E	O95154
2CLP	F	O95154
2CLP	G	O95154
2CLP	H	O95154
2CLP	I	O95154
2CLP	J	O95154
2CLP	K	O95154
2CLQ	A	Q99683
2CLQ	B	Q99683
2CLS	A	Q92730
2CLS	B	Q92730
2CLT	A	P03956
2CLT	B	P03956
2CLU	A	P02794
2CLW	A	P62837
2CLW	B	P62837
2CLW	C	P62837
2CLW	D	P62837
2CLX	A	P24941
2CM0	A	Q96IV0
2CM2	A	P18031
2CM3	A	P18031
2CM3	B	P18031
2CM7	A	P18031
2CM8	A	P18031
2CMA	A	P18031
2CMB	A	P18031
2CMC	A	P18031
2CMW	A	Q9HCP0
2CN0	H	P00734
2CN0	L	P00734
2CN1	A	Q9H0P0
2CN5	A	O96017
2CN6	A	P02794
2CN7	A	P02794
2CN8	A	O96017
2CNE	A	P18031
2CNF	A	P18031
2CNG	A	P18031
2CNH	A	P18031
2CNI	A	P18031
2CNJ	D	P11717
2CNK	A	P42574
2CNK	B	P42574
2CNL	A	P42574
2CNL	B	P42574
2CNN	A	P42574
2CNN	B	P42574
2CNO	A	P42574
2CNO	B	P42574
2CNX	A	P61964
2CO0	A	P61964
2CO0	C	P61964
2CO8	A	Q8TDZ2
2COA	A	Q9BZL6
2COB	A	Q96JN0
2COC	A	Q5JSP0
2COD	A	Q8WZ64
2COE	A	P04053
2COF	A	Q8N4X5
2COG	A	P54687
2COG	B	P54687
2COI	A	P54687
2COI	B	P54687
2COJ	A	P54687
2COJ	B	P54687
2COK	A	P09874
2COM	A	O60341
2COO	A	P11182
2COP	A	Q9BR61
2COR	A	P48059
2COT	A	Q9H4T2
2COW	A	Q9NQT8
2COY	A	Q14203
2COZ	A	Q5VT06
2CP0	A	Q96DZ5
2CP2	A	Q9UDT6
2CP3	A	Q9UDT6
2CP5	A	P30622
2CP6	A	P30622
2CP8	A	Q14596
2CP9	A	P43897
2CPC	A	O75147
2CPD	A	Q9NQ94
2CPE	A	Q01844
2CPL	A	P62937
2CPM	A	O75391
2CPN	A	Q15633
2CPQ	A	P51114
2CPR	A	Q01780
2CPT	A	O75351
2CPU	A	P04746
2CPW	A	Q8TF42
2CPX	A	Q96IZ5
2CPY	A	Q9NTZ6
2CPZ	A	Q92879
2CQ0	A	O75821
2CQ1	A	Q9UKA9
2CQ2	A	Q96BT7
2CQ3	A	O43251
2CQ4	A	Q86U06
2CQ7	A	P16562
2CQ8	A	O75891
2CQ9	A	Q9NS18
2CQA	A	Q9Y230
2CQB	A	Q9UNP9
2CQC	A	P62995
2CQD	A	Q9H0Z9
2CQE	A	Q9UPT8
2CQF	A	Q9H9Z2
2CQG	A	Q13148
2CQH	A	Q9Y6M1
2CQI	A	Q01085
2CQJ	A	Q9NV31
2CQK	A	Q71RC2
2CQL	A	P32969
2CQM	A	Q9NRX2
2CQN	A	O75400
2CQO	A	Q9NP64
2CQQ	A	Q96KC8
2CQR	A	Q96KC8
2CQU	A	O75521
2CQV	A	Q15746
2CQY	A	P05165
2CR2	A	O43791
2CR3	A	P11362
2CR4	A	P78314
2CR6	A	Q5VST9
2CR8	A	O15151
2CR9	A	P09874
2CRA	A	Q92826
2CRC	A	Q9BYM8
2CRE	A	Q9NQ75
2CRF	A	Q9H6Z4
2CRH	A	P15498
2CRL	A	O14618
2CRM	A	Q9Y2H6
2CRN	A	P57075
2CRP	A	O15539
2CRR	A	Q8IYB5
2CRU	A	O14737
2CRW	A	Q9NP61
2CRY	A	Q8IZU9
2CRZ	A	Q9Y2H6
2CS1	A	P54277
2CS2	A	P09874
2CS3	A	Q9H1B7
2CS4	A	Q8NHQ8
2CS5	A	P29074
2CS8	A	O60284
2CSA	A	P20309
2CSF	A	Q9UPW6
2CSH	A	O43298
2CSI	A	O15034
2CSK	A	Q9UMY4
2CSO	A	P08567
2CSP	A	O15034
2CSQ	A	O15034
2CSS	A	Q86UR5
2CSV	A	Q14134
2CSW	A	O76064
2CSY	A	Q8IZP6
2CSZ	A	Q96C24
2CT0	A	Q8WV22
2CT1	A	P49711
2CT2	A	Q13049
2CT3	A	O60504
2CT4	A	Q15642
2CT5	A	O96006
2CT6	A	Q9UJC5
2CT7	A	Q96EP0
2CTD	A	Q96ME7
2CTE	A	Q00341
2CTJ	A	Q00341
2CTK	A	Q00341
2CTL	A	Q00341
2CTM	A	Q00341
2CTO	A	Q96JY0
2CTP	A	Q9NXW2
2CTQ	A	Q9UKB3
2CTR	A	Q9UBS3
2CTT	A	Q96EY1
2CTU	A	Q8TF39
2CU1	A	Q9Y2U5
2CU7	A	Q5VVJ2
2CU8	A	P52943
2CUB	A	P16333
2CUD	A	Q13239
2CUE	A	P26367
2CUF	A	Q6NT76
2CUH	A	P22105
2CUI	A	P22105
2CUM	A	P22105
2CUP	A	Q13642
2CUQ	A	Q13643
2CUR	A	Q13642
2CV5	A	P68431
2CV5	B	P62805
2CV5	C	P04908
2CV5	D	O60814
2CV5	E	P68431
2CV5	F	P62805
2CV5	G	P04908
2CV5	H	O60814
2CVD	A	O60760
2CVD	B	O60760
2CVD	C	O60760
2CVD	D	O60760
2CW6	A	P35914
2CW6	B	P35914
2CW6	C	P35914
2CW6	D	P35914
2CW6	E	P35914
2CW6	F	P35914
2CW9	A	O43615
2CWB	A	Q96S82
2CXK	A	Q9Y6Y1
2CXK	B	Q9Y6Y1
2CXK	C	Q9Y6Y1
2CXK	D	Q9Y6Y1
2CXK	E	Q9Y6Y1
2CXY	A	Q8NFD5
2CY7	A	Q9Y4P1
2CYH	A	P62937
2CYK	A	P05112
2CYX	A	P60604
2CYX	B	P60604
2CYX	C	P60604
2CZH	A	O14732
2CZH	B	O14732
2CZI	A	O14732
2CZK	A	O14732
2CZY	B	Q13127
2D06	A	P50225
2D06	B	P50225
2D07	A	Q13569
2D07	B	P61956
2D0J	A	Q9NPZ5
2D0J	B	Q9NPZ5
2D0J	C	Q9NPZ5
2D0J	D	Q9NPZ5
2D0T	A	P14902
2D0T	B	P14902
2D0U	A	P14902
2D0U	B	P14902
2D10	E	O14745
2D10	F	O14745
2D10	G	O14745
2D10	H	O14745
2D11	E	Q15599
2D11	F	Q15599
2D11	G	Q15599
2D11	H	Q15599
2D1I	A	Q9Y4P1
2D1I	B	Q9Y4P1
2D1J	A	P00742
2D1J	B	P00742
2D1K	C	O43312
2D1N	A	P45452
2D1N	B	P45452
2D1O	A	P08254
2D1O	B	P08254
2D1X	A	Q14247
2D1X	B	Q14247
2D1X	C	Q14247
2D1X	D	Q14247
2D1X	P	Q9ULH1
2D1X	Q	Q9ULH1
2D26	A	P01009
2D26	B	P01009
2D2P	A	P18509
2D2Z	A	Q9Y696
2D2Z	B	Q9Y696
2D2Z	C	Q9Y696
2D31	A	P17693
2D31	B	P61769
2D31	C	P16104
2D31	D	P17693
2D31	E	P61769
2D31	F	P16104
2D39	A	O00602
2D39	B	O00602
2D39	C	O00602
2D3G	P	O14964
2D3J	A	Q9Y5W5
2D3V	A	A6NI73
2D46	A	O00305
2D48	A	P05112
2D4C	A	Q99962
2D4C	B	Q99962
2D4C	C	Q99962
2D4C	D	Q99962
2D4D	A	P61769
2D4F	A	P61769
2D4H	A	P32455
2D4H	B	P32455
2D4Q	A	P21359
2D4Q	B	P21359
2D58	A	P55008
2D5R	A	Q9UIV1
2D5R	B	P50616
2D5Z	A	P69905
2D5Z	B	P68871
2D5Z	C	P69905
2D5Z	D	P68871
2D60	A	P69905
2D60	B	P68871
2D60	C	P69905
2D60	D	P68871
2D68	A	O95684
2D68	B	O95684
2D7C	A	P62491
2D7C	B	P62491
2D7C	C	O75154
2D7C	D	O75154
2D7I	A	Q86SR1
2D7L	A	O75717
2D7M	A	Q14315
2D7N	A	Q14315
2D7O	A	Q14315
2D7P	A	Q14315
2D7Q	A	Q14315
2D7R	A	Q86SR1
2D82	A	Q92793
2D85	A	P13796
2D86	A	Q9UKW4
2D87	A	P53814
2D88	A	Q7RTP6
2D89	A	Q8NDI1
2D8H	A	Q96HL8
2D8I	A	Q13009
2D8K	A	O43581
2D8M	A	P18887
2D8N	A	P35243
2D8Q	A	O75800
2D8R	A	Q9H0W7
2D8S	A	Q5T0T0
2D8T	A	Q9NTX7
2D8X	A	P48059
2D8Y	A	Q9UHB6
2D8Z	A	Q14192
2D92	A	Q8NI35
2D93	A	Q8TEU7
2D96	A	Q00653
2D99	A	Q9UHL9
2D9B	A	P78347
2D9C	A	O00241
2D9D	A	Q9UL15
2D9E	A	P55201
2D9F	A	Q14318
2D9G	A	Q8IY57
2D9H	A	Q9BU19
2D9I	A	Q86UW6
2D9J	A	P49802
2D9K	A	O14545
2D9L	A	P52594
2D9M	A	Q8IWR0
2D9N	A	O95639
2D9O	A	Q9NVM6
2D9Q	A	P09919
2D9Q	B	Q99062
2D9U	A	Q14781
2D9W	A	O60496
2D9X	A	Q9BXB4
2D9Y	A	Q9Y2H5
2D9Z	A	O94806
2DA0	A	Q9ULH1
2DA1	A	Q15911
2DA2	A	Q15911
2DA3	A	Q15911
2DA4	A	Q7Z353
2DA5	A	Q9H4I2
2DAE	A	Q9NYJ8
2DAF	A	Q8NA54
2DAG	A	P45974
2DAH	A	Q9H347
2DAI	A	Q9BSL1
2DAJ	A	Q53SF7
2DAK	A	P45974
2DAL	A	O94888
2DAM	A	Q96CS3
2DAN	A	O75800
2DAO	A	P41212
2DAQ	A	Q9BZ95
2DAS	A	Q9UJ78
2DAT	A	P51531
2DAV	A	Q00872
2DAW	A	Q9UIY3
2DAX	A	P57060
2DAY	A	Q96BH1
2DAZ	A	Q8NI35
2DB2	A	Q7L2E3
2DB5	A	Q8NI35
2DB6	A	Q96MF2
2DB8	A	Q9C026
2DB9	A	Q92541
2DBA	A	Q9H3U1
2DBD	A	Q9Y239
2DBF	A	P19838
2DBG	A	P41218
2DBJ	A	Q12866
2DBK	A	P46109
2DC2	A	Q9HD26
2DC3	A	Q8WWM9
2DC3	B	Q8WWM9
2DCE	A	Q5VVJ2
2DCO	A	O95977
2DCR	A	P07332
2DDF	A	P78536
2DDF	B	P78536
2DDI	A	Q96NZ8
2DDJ	A	Q96NZ8
2DDK	A	O14732
2DDK	B	O14732
2DDY	A	P09237
2DE0	X	Q9BYC5
2DEN	A	Q96S82
2DEN	B	P0CG48
2DEW	X	Q9UM07
2DEX	X	Q9UM07
2DEY	X	Q9UM07
2DEZ	A	P10082
2DF0	A	P10082
2DF3	A	Q9Y286
2DFD	A	P40926
2DFD	B	P40926
2DFD	C	P40926
2DFD	D	P40926
2DFK	B	P60953
2DFK	D	P60953
2DG3	A	P62942
2DG4	A	P62942
2DG9	A	P62942
2DGP	A	Q9BZC1
2DGQ	A	Q96J87
2DGR	A	Q86XN8
2DGS	A	Q96EP5
2DGT	A	Q9BQ04
2DGU	A	O60506
2DGV	A	P52272
2DGW	A	Q9Y4C8
2DGX	A	Q9Y4F3
2DGY	A	Q8N9N8
2DGZ	A	Q14191
2DH2	A	P08195
2DH3	A	P08195
2DH3	B	P08195
2DH7	A	Q01085
2DH8	A	Q96EP5
2DH9	A	P52272
2DHA	A	Q6NXG1
2DHF	A	P00374
2DHF	B	P00374
2DHG	A	Q9NX07
2DHJ	A	Q5T5U3
2DHK	A	Q9BYX2
2DHO	A	Q13907
2DHS	A	Q92879
2DHX	A	Q53GL7
2DHY	A	Q9NWM3
2DHZ	A	Q9UHV5
2DI0	A	Q9H1I8
2DI7	A	Q6UW63
2DI8	A	O75369
2DI9	A	O75369
2DIA	A	O75369
2DIB	A	O75369
2DIC	A	O75369
2DID	A	Q9HCM9
2DIF	A	Q9HCM9
2DIG	A	Q14739
2DII	A	P32780
2DIL	A	O43586
2DIM	A	Q99459
2DIN	A	Q99459
2DIP	A	Q8NEG5
2DIQ	A	Q9Y2W6
2DIS	A	A0AV96
2DIT	A	O43719
2DIU	A	Q9Y4F3
2DIV	A	Q9NX07
2DIW	A	Q9UPN6
2DIX	A	O75569
2DIY	A	O76003
2DIZ	A	Q8NBS9
2DJ0	A	Q9Y320
2DJ4	A	O75369
2DJ7	A	O94929
2DJ8	A	Q06455
2DJA	A	Q9UJV3
2DJB	A	Q9BYE7
2DJF	A	P53634
2DJF	B	P53634
2DJF	C	P53634
2DJG	A	P53634
2DJG	B	P53634
2DJG	C	P53634
2DJN	A	P56178
2DJP	A	Q96S90
2DJR	A	Q9BTP6
2DJS	A	P54762
2DJU	A	P10586
2DJV	A	P56192
2DJY	A	Q9HAU4
2DJY	B	O15105
2DK1	A	O75554
2DK2	A	O43390
2DK3	A	Q9ULT8
2DK4	A	Q99633
2DK5	A	Q9H1D9
2DK6	A	Q9NR21
2DK7	A	O14776
2DK9	A	Q8TDZ2
2DKL	A	Q9HCJ0
2DKM	A	Q9P218
2DKO	A	P42574
2DKO	B	P42574
2DKP	A	Q9HAU0
2DKQ	A	Q63HR2
2DKR	A	Q9HAP6
2DKS	A	P31997
2DKU	A	Q5VST9
2DKW	A	Q9ULI0
2DKX	A	O95238
2DKY	A	Q96QB1
2DKZ	A	Q9H706
2DL1	A	Q8N0X7
2DL3	A	Q9BX66
2DL5	A	O94868
2DL6	A	Q9HCK8
2DL7	A	O94868
2DL9	A	Q9HBW1
2DLE	A	Q12913
2DLG	A	O75369
2DLH	A	P23468
2DLK	A	Q9BU19
2DLL	A	Q15306
2DLM	A	O60504
2DLR	A	O43665
2DLS	A	O15085
2DLU	A	Q8NI35
2DLV	A	Q9NS28
2DLW	A	O60496
2DLX	A	O94888
2DLZ	A	P52735
2DM0	A	P42681
2DM1	A	P52735
2DM2	A	Q8WX93
2DM3	A	Q8WX93
2DM4	A	Q92673
2DM8	A	Q8NI35
2DMB	A	O75369
2DMC	A	O75369
2DMD	A	Q9NPA5
2DME	A	Q92576
2DMF	A	Q96BH1
2DMG	A	A0FGR8
2DMH	A	Q9NZM1
2DMI	A	Q63HK5
2DMJ	A	P09874
2DMK	A	Q9UJV3
2DMM	A	P30101
2DMO	A	P19878
2DMP	A	Q9Y6X8
2DMQ	A	Q9NQ69
2DMT	A	Q9HBU1
2DMU	A	P56915
2DMV	A	Q96J02
2DMW	A	P51809
2DMX	A	Q8NHS0
2DMY	A	Q96SI9
2DMZ	A	Q8NI35
2DN0	A	Q9H4I2
2DN1	A	P69905
2DN1	B	P68871
2DN2	A	P69905
2DN2	B	P68871
2DN2	C	P69905
2DN2	D	P68871
2DN3	A	P69905
2DN3	B	P68871
2DN5	A	Q9UHL9
2DN6	A	Q9UH65
2DN8	A	O00763
2DN9	A	Q96EY1
2DNC	A	O00330
2DNE	A	P10515
2DNF	A	Q9UHG0
2DNH	A	Q8N6W0
2DNK	A	Q9BZC1
2DNL	A	Q8NE35
2DNN	A	Q9NTZ6
2DNO	A	Q5SZQ8
2DNP	A	Q96PK6
2DNQ	A	Q9BWF3
2DNR	A	O43426
2DNT	A	Q9Y232
2DNU	A	Q5TCZ1
2DNW	A	O14561
2DNX	A	Q86Y82
2DNY	A	Q9UHX1
2DNZ	A	Q86U06
2DO0	A	P52272
2DO1	A	P82979
2DO3	A	O00267
2DO4	A	Q15020
2DO6	A	Q13191
2DO6	B	Q13191
2DO7	A	Q13620
2DOA	A	P55199
2DOB	A	P07602
2DOC	A	O15394
2DOD	A	O14776
2DOE	A	O14776
2DOF	A	O14776
2DOH	X	P00747
2DOI	A	P00747
2DOI	X	P00747
2DOK	A	Q86US8
2DOK	B	Q86US8
2DOS	A	P54252
2DP4	I	P02788
2DPI	A	Q9UNA4
2DPJ	A	Q9UNA4
2DPX	A	P55042
2DPX	B	P55042
2DQ5	A	O15344
2DQ7	X	P06241
2DQY	A	P23141
2DQY	B	P23141
2DQY	C	P23141
2DQZ	A	P23141
2DQZ	B	P23141
2DQZ	C	P23141
2DR0	A	P23141
2DR0	B	P23141
2DR0	C	P23141
2DR2	A	P23381
2DRN	C	Q12802
2DS1	A	P24941
2DS4	A	Q9H8W5
2DSB	A	Q9UKK9
2DSB	B	Q9UKK9
2DSB	C	Q9UKK9
2DSB	D	Q9UKK9
2DSC	A	Q9UKK9
2DSC	B	Q9UKK9
2DSD	A	Q9UKK9
2DSD	B	Q9UKK9
2DSP	B	P22692
2DSQ	A	P22692
2DSQ	B	P22692
2DSQ	G	P08833
2DSQ	H	P08833
2DSR	B	P22692
2DSR	G	P22692
2DSR	I	P05019
2DT6	A	Q15459
2DT7	A	Q12874
2DT7	B	Q15459
2DTG	E	P06213
2DTS	A	P01857
2DTS	B	P01857
2DU8	A	P14920
