modelid	unp
ENSP00000363118_1	P0C7U1
ENSP00000362372_11	Q6RI45
ENSP00000328934_2	Q8NH01
ENSP00000314871_3	Q9BV20
ENSP00000390231_1	Q96HI0
ENSP00000239449_7	Q9Y5E9
ENSP00000355010_4	Q8N6C5
ENSP00000430138_1	Q96E29
ENSP00000291503_4	Q9HD20
ENSP00000411035_2	Q96KQ7
ENSP00000329468_2	Q9NPF8
ENSP00000339754_2	P56559
ENSP00000256178_3	Q9Y5Y7
ENSP00000376390_3	Q96AX2
ENSP00000429891_2	Q15025
ENSP00000385463_1	Q8NEJ0
ENSP00000355982_2	Q8NB59
ENSP00000301921_2	Q9BT81
ENSP00000377569_1	Q9UKJ1
ENSP00000433065_2	Q96CM3
ENSP00000222800_1	Q8NFV4
ENSP00000265807_3	Q9H788
ENSP00000255432_2	Q9HBX8
ENSP00000366410_1	Q9HAN9
ENSP00000354632_1	P00846
ENSP00000342210_1	Q9UGM3
ENSP00000321617_7	Q9H8Y5
ENSP00000374655_2	Q8IYB7
ENSP00000411035_3	Q96KQ7
ENSP00000352927_3	Q9Y4B5
ENSP00000436269_4	Q96FS4
ENSP00000382077_3	Q9BXS0
ENSP00000360689_6	Q9H2K2
ENSP00000404092_2	Q96SB8
ENSP00000356621_6	Q9UJF2
ENSP00000265018_2	Q9ULE4
ENSP00000472735_4	Q9UHX3
ENSP00000268756_1	Q96QT6
ENSP00000287713_2	Q9BZQ4
ENSP00000357920_1	Q99489
ENSP00000300835_1	Q9BWN1
ENSP00000332576_10	Q969R2
ENSP00000180173_2	Q9Y216
ENSP00000339090_2	Q9Y388
ENSP00000238667_3	Q9UPI3
ENSP00000415648_3	Q99755
ENSP00000366828_2	Q9H1D9
ENSP00000381758_5	Q9UMQ6
ENSP00000344233_6	Q8N309
ENSP00000366453_3	Q9UDY2
ENSP00000392936_4	A6NLU0
ENSP00000411035_4	Q96KQ7
ENSP00000470780_4	Q9H0B3
ENSP00000367822_6	P36402
ENSP00000432724_1	P17097
ENSP00000305926_8	Q8TE49
ENSP00000457570_3	Q8TBB5
ENSP00000441092_1	Q8IX04
ENSP00000406870_1	O95873
ENSP00000410561_4	Q00526
ENSP00000295878_1	Q8NCU4
ENSP00000429797_2	A8MQ27
ENSP00000294600_1	Q2M243
ENSP00000401001_2	P40938
ENSP00000392484_2	Q9Y2I1
ENSP00000376892_2	P15531
ENSP00000323889_4	Q14258
ENSP00000342392_2	Q0VG99
ENSP00000407487_5	Q9H3U1
ENSP00000460506_1	Q9BYQ6
ENSP00000428424_1	P07948
ENSP00000361185_5	A6NDA9
ENSP00000356774_2	Q8N157
ENSP00000460506_2	Q9BYQ6
ENSP00000261015_1	Q9GZL7
ENSP00000347614_1	P0CK97
ENSP00000411035_5	Q96KQ7
ENSP00000357671_3	P06241
ENSP00000272321_1	O95876
ENSP00000259699_3	Q30201
ENSP00000463094_2	Q9H5I5
ENSP00000304611_2	P19320
ENSP00000403982_2	Q05084
ENSP00000381489_1	Q9BYQ7
ENSP00000389899_3	O14966
ENSP00000242786_7	P48960
ENSP00000373274_3	A6NHJ4
ENSP00000260682_1	P11712
ENSP00000373278_4	Q504Y3
ENSP00000345230_2	P67936
ENSP00000411221_3	P20936
ENSP00000361269_2	Q13905
ENSP00000344668_6	O00522
ENSP00000411035_6	Q96KQ7
ENSP00000379284_1	Q07973
ENSP00000410621_2	C9J2P7
ENSP00000389140_1	P43146
ENSP00000377075_4	Q3MIN7
ENSP00000339992_1	P10242
ENSP00000421259_1	Q15399
ENSP00000338807_4	Q6ZSB9
ENSP00000356444_1	Q5TGI4
ENSP00000364108_1	Q49MI3
ENSP00000375018_3	P01764
ENSP00000402084_2	P30291
ENSP00000299481_1	Q86W24
ENSP00000262585_2	A2RUS2
ENSP00000411035_7	Q96KQ7
ENSP00000363773_1	P02745
ENSP00000382151_3	Q8WXA3
ENSP00000345464_2	Q6VVB1
ENSP00000414376_1	P62328
ENSP00000369717_1	Q7Z628
ENSP00000269571_6	P04626
ENSP00000353295_4	Q5JTY5
ENSP00000247140_2	O60828
ENSP00000280772_12	Q12955
ENSP00000334962_7	Q8IU80
ENSP00000311684_7	Q15772
ENSP00000260777_1	A0MZ66
ENSP00000405176_1	Q8WVJ9
ENSP00000160373_8	Q8WZ74
ENSP00000423446_1	Q569H4
ENSP00000377500_4	Q86SQ0
ENSP00000411035_8	Q96KQ7
ENSP00000391358_2	Q76KX8
ENSP00000330878_3	A9QM74
ENSP00000373240_1	Q16877
ENSP00000437115_2	O60423
ENSP00000413074_3	Q6DHV7
ENSP00000343062_1	Q6IF00
ENSP00000331983_1	Q5VZK9
ENSP00000277817_4	Q5GLZ8
ENSP00000368995_2	Q9UBN4
ENSP00000465253_4	Q7RTR0
ENSP00000377708_5	Q6NSZ9
ENSP00000464297_3	Q6ZVM7
ENSP00000426015_1	Q674X7
ENSP00000241337_1	P28161
ENSP00000466967_3	Q9NXH9
ENSP00000314444_1	Q9P2L0
ENSP00000340889_2	P35030
ENSP00000411035_9	Q96KQ7
ENSP00000337572_7	Q86XP1
ENSP00000456095_1	Q6ZN54
ENSP00000239614_3	Q6P1R3
ENSP00000383594_1	Q9NWH2
ENSP00000332265_11	O75179
ENSP00000442553_5	Q6PEZ8
ENSP00000374069_3	Q92932
ENSP00000409131_1	Q9NYS7
ENSP00000356590_3	Q5T1B0
ENSP00000266542_2	Q9NZP8
ENSP00000384433_4	Q5T7B8
ENSP00000431814_3	E9PJI5
ENSP00000397987_2	Q9NST1
ENSP00000377700_1	Q9NUY8
ENSP00000346499_2	Q9P1Q0
ENSP00000273450_1	O75891
ENSP00000344458_4	P22891
ENSP00000409270_3	P09327
ENSP00000392305_1	Q96KQ7
ENSP00000304139_2	O75526
ENSP00000396830_2	Q7Z401
ENSP00000379394_4	Q8IVL1
ENSP00000369346_2	Q6UWY0
ENSP00000404023_1	P31483
ENSP00000368966_2	Q13507
ENSP00000260197_11	Q92673
ENSP00000354964_4	Q5VUA4
ENSP00000394049_4	Q13239
ENSP00000321544_6	O94819
ENSP00000425281_2	P25101
ENSP00000296218_3	O14645
ENSP00000415107_5	O43147
ENSP00000295920_1	P49915
ENSP00000376934_2	Q14687
ENSP00000363868_3	O95477
ENSP00000403310_2	Q16560
ENSP00000370232_2	O43837
ENSP00000289290_3	P13797
ENSP00000392305_2	Q96KQ7
ENSP00000420746_2	Q5SGD2
ENSP00000299886_2	Q8WTW3
ENSP00000309555_5	P51610
ENSP00000468082_3	P59045
ENSP00000352011_1	O43497
ENSP00000449974_3	Q96N77
ENSP00000355580_1	O00180
ENSP00000431836_2	Q8N4M1
ENSP00000268251_1	P80404
ENSP00000245323_2	P52799
ENSP00000389879_3	O15259
ENSP00000351555_5	Q9NRL2
ENSP00000378677_10	Q96J87
ENSP00000305647_3	O95183
ENSP00000470246_2	P61018
ENSP00000369365_4	Q02224
ENSP00000362288_7	Q8IZJ1
ENSP00000363897_2	P47736
ENSP00000363084_8	Q96M20
ENSP00000321249_2	Q8N7X8
ENSP00000310943_2	Q8NHY2
ENSP00000454143_6	Q96PH1
ENSP00000439495_1	P54868
ENSP00000418070_3	Q9NQS3
ENSP00000267023_1	Q9BQ15
ENSP00000361875_1	Q8TCV5
ENSP00000362372_12	Q6RI45
ENSP00000320302_1	Q8NGI8
ENSP00000328934_3	Q8NH01
ENSP00000392305_3	Q96KQ7
ENSP00000345491_1	Q9Y5F0
ENSP00000314871_4	Q9BV20
ENSP00000378719_5	Q86UP2
ENSP00000390231_2	Q96HI0
ENSP00000356236_2	Q8N9I0
ENSP00000240093_1	Q9NPG1
ENSP00000298585_1	Q96E35
ENSP00000349877_1	Q9HD20
ENSP00000339754_3	P56559
ENSP00000390600_1	Q9Y5Y9
ENSP00000392305_4	Q96KQ7
ENSP00000355010_5	Q8N6C5
ENSP00000383934_1	Q96AX2
ENSP00000363119_1	P0C7U1
ENSP00000392305_5	Q96KQ7
ENSP00000357307_1	Q9BT88
ENSP00000433065_3	Q96CM3
ENSP00000377569_2	Q9UKJ1
ENSP00000311665_2	Q9BRP4
ENSP00000429891_3	Q15025
ENSP00000355982_3	Q8NB59
ENSP00000265807_4	Q9H788
ENSP00000255432_3	Q9HBX8
ENSP00000321617_8	Q9H8Y5
ENSP00000382077_4	Q9BXS0
ENSP00000312834_1	Q9HAP2
ENSP00000392305_6	Q96KQ7
ENSP00000436269_5	Q96FS4
ENSP00000385463_2	Q8NEJ0
ENSP00000352927_4	Q9Y4B5
ENSP00000360689_7	Q9H2K2
ENSP00000430656_1	P00915
ENSP00000420558_1	Q9UJF2
ENSP00000374655_3	Q8IYB7
ENSP00000404092_3	Q96SB8
ENSP00000470725_1	Q9UHX3
ENSP00000287713_3	Q9BZQ4
ENSP00000222800_2	Q8NFV4
ENSP00000265018_3	Q9ULE4
ENSP00000342210_2	Q9UGM3
ENSP00000357920_2	Q99489
ENSP00000339090_3	Q9Y388
ENSP00000332576_11	Q969R2
ENSP00000268756_2	Q96QT6
ENSP00000415648_4	Q99755
ENSP00000429733_1	Q9Y216
ENSP00000298690_1	Q9H1E1
ENSP00000344233_7	Q8N309
ENSP00000392936_5	A6NLU0
ENSP00000288071_1	Q9UMR2
ENSP00000367822_7	P36402
ENSP00000472912_1	Q9H0B3
ENSP00000366453_4	Q9UDY2
ENSP00000441092_2	Q8IX04
ENSP00000305926_9	Q8TE49
ENSP00000238667_4	Q9UPI3
ENSP00000231706_1	Q8TBB6
ENSP00000300835_2	Q9BWN1
ENSP00000392305_7	Q96KQ7
ENSP00000432724_2	P17097
ENSP00000429797_3	A8MQ27
ENSP00000379176_1	Q00532
ENSP00000323889_5	Q14258
ENSP00000370023_1	P40939
ENSP00000292427_1	P15538
ENSP00000294600_2	Q2M243
ENSP00000350295_1	Q0VGE8
ENSP00000392484_3	Q9Y2I1
ENSP00000428424_2	P07948
ENSP00000438264_1	A6NDA9
ENSP00000407487_6	Q9H3U1
ENSP00000356774_3	Q8N157
ENSP00000259699_4	Q30201
ENSP00000398163_1	P0CV98
ENSP00000357671_4	P06241
ENSP00000295878_2	Q8NCU4
ENSP00000232165_1	Q05086
ENSP00000373274_4	A6NHJ4
ENSP00000242786_8	P48960
ENSP00000261015_2	Q9GZL7
ENSP00000389899_4	O14966
ENSP00000392305_8	Q96KQ7
ENSP00000359137_1	P19320
ENSP00000381489_2	Q9BYQ7
ENSP00000345230_3	P67936
ENSP00000463094_3	Q9H5I5
ENSP00000381552_1	O95876
ENSP00000411221_4	P20936
ENSP00000361269_3	Q13905
ENSP00000260682_2	P11712
ENSP00000434849_1	Q50LG9
ENSP00000344668_7	O00522
ENSP00000379285_1	Q07973
ENSP00000391404_1	C9J302
ENSP00000377075_5	Q3MIN7
ENSP00000356444_2	Q5TGI4
ENSP00000364109_1	Q49MI3
ENSP00000338807_5	Q6ZSB9
ENSP00000389140_2	P43146
ENSP00000402084_3	P30291
ENSP00000299481_2	Q86W24
ENSP00000348888_1	P01833
ENSP00000404986_1	Q8WXA3
ENSP00000421259_2	Q15399
ENSP00000363773_2	P02745
ENSP00000345464_3	Q6VVB1
ENSP00000383456_1	Q5JTZ5
ENSP00000262585_3	A2RUS2
ENSP00000247140_3	O60828
ENSP00000392305_9	Q96KQ7
ENSP00000311684_8	Q15772
ENSP00000385453_1	Q8IU80
ENSP00000298316_1	P62330
ENSP00000369717_2	Q7Z628
ENSP00000338225_1	Q569K4
ENSP00000269571_7	P04626
ENSP00000377500_5	Q86SQ0
ENSP00000405176_2	Q8WVJ9
ENSP00000391358_3	Q76KX8
ENSP00000330878_4	A9QM74
ENSP00000405087_1	O60427
ENSP00000160373_9	Q8WZ74
ENSP00000373240_2	Q16877
ENSP00000413074_4	Q6DHV7
ENSP00000368995_3	Q9UBN4
ENSP00000280772_13	Q12955
ENSP00000260777_2	A0MZ66
ENSP00000377708_6	Q6NSZ9
ENSP00000337014_1	Q6ZVN8
ENSP00000277817_5	Q5GLZ8
ENSP00000465253_5	Q7RTR0
ENSP00000343062_2	Q6IF00
ENSP00000392305_10	Q96KQ7
ENSP00000426015_2	Q674X7
ENSP00000331983_2	Q5VZK9
ENSP00000314444_2	Q9P2L0
ENSP00000354280_1	P35030
ENSP00000456095_2	Q6ZN54
ENSP00000442553_6	Q6PEZ8
ENSP00000239614_4	Q6P1R3
ENSP00000466967_4	Q9NXH9
ENSP00000368576_1	Q86XP1
ENSP00000435910_1	P28161
ENSP00000360909_1	Q9NWH7
ENSP00000266542_3	Q9NZP8
ENSP00000409131_2	Q9NYS7
ENSP00000374069_4	Q92932
ENSP00000433597_1	E9PKD4
ENSP00000356590_4	Q5T1B0
ENSP00000332265_12	O75179
ENSP00000397987_3	Q9NST1
ENSP00000344458_5	P22891
ENSP00000384433_5	Q5T7B8
ENSP00000379110_1	P09341
ENSP00000377700_2	Q9NUY8
ENSP00000346499_3	Q9P1Q0
ENSP00000304139_3	O75526
ENSP00000392305_11	Q96KQ7
ENSP00000368966_3	Q13507
ENSP00000356786_1	P10242
ENSP00000369346_3	Q6UWY0
ENSP00000379394_5	Q8IVL1
ENSP00000265069_1	Q96KR1
ENSP00000427259_1	P25101
ENSP00000296218_4	O14645
ENSP00000394049_5	Q13239
ENSP00000396830_3	Q7Z401
ENSP00000354964_5	Q5VUA4
ENSP00000321544_7	O94819
ENSP00000376934_3	Q14687
ENSP00000403310_3	Q16560
ENSP00000459126_1	O43147
ENSP00000362017_1	Q92674
ENSP00000404023_2	P31483
ENSP00000273450_2	O75891
ENSP00000370232_3	O43837
ENSP00000348163_1	P13797
ENSP00000420746_3	Q5SGD2
ENSP00000363868_4	O95477
ENSP00000449974_4	Q96N77
ENSP00000456743_1	Q8N4N3
ENSP00000309555_6	P51610
ENSP00000419851_1	P49915
ENSP00000378677_11	Q96J87
ENSP00000424598_1	O15263
ENSP00000328777_1	P52803
ENSP00000406022_1	O95185
ENSP00000351555_6	Q9NRL2
ENSP00000355580_2	O00180
ENSP00000470246_3	P61018
ENSP00000468082_4	P59045
ENSP00000291440_1	Q8IZJ3
ENSP00000299886_3	Q8WTW3
ENSP00000321249_3	Q8N7X8
ENSP00000363084_9	Q96M20
ENSP00000310943_3	Q8NHY2
ENSP00000434033_1	P47736
ENSP00000361875_2	Q8TCV5
ENSP00000420579_1	Q9NQS3
ENSP00000357726_1	P80511
ENSP00000331774_1	Q8NH02
ENSP00000454143_7	Q96PH1
ENSP00000362372_13	Q6RI45
ENSP00000439495_2	P54868
ENSP00000267023_2	Q9BQ15
ENSP00000420315_1	Q9BV23
ENSP00000320302_2	Q8NGI8
ENSP00000345491_2	Q9Y5F0
ENSP00000378719_6	Q86UP2
ENSP00000390231_3	Q96HI0
ENSP00000298585_2	Q96E35
ENSP00000356236_3	Q8N9I0
ENSP00000240093_2	Q9NPG1
ENSP00000339754_4	P56559
ENSP00000369365_5	Q02224
ENSP00000349877_2	Q9HD20
ENSP00000355010_6	Q8N6C5
ENSP00000390600_2	Q9Y5Y9
ENSP00000383934_2	Q96AX2
ENSP00000363119_2	P0C7U1
ENSP00000377569_3	Q9UKJ1
ENSP00000433065_4	Q96CM3
ENSP00000357307_2	Q9BT88
ENSP00000311665_3	Q9BRP4
ENSP00000429482_1	Q9H788
ENSP00000355982_4	Q8NB59
ENSP00000382077_5	Q9BXS0
ENSP00000431105_1	Q15025
ENSP00000321617_9	Q9H8Y5
ENSP00000255432_4	Q9HBX8
ENSP00000385463_3	Q8NEJ0
ENSP00000436269_6	Q96FS4
ENSP00000360689_8	Q9H2K2
ENSP00000470725_2	Q9UHX3
ENSP00000420558_2	Q9UJF2
ENSP00000386799_1	Q8IYB7
ENSP00000294868_1	Q9BZQ4
ENSP00000404092_4	Q96SB8
ENSP00000265018_4	Q9ULE4
ENSP00000222800_3	Q8NFV4
ENSP00000339090_4	Q9Y388
ENSP00000268756_3	Q96QT6
ENSP00000257897_1	Q99490
ENSP00000216185_1	Q99757
ENSP00000342210_3	Q9UGM3
ENSP00000392936_6	A6NLU0
ENSP00000430179_1	P36402
ENSP00000312834_2	Q9HAP2
ENSP00000426159_1	Q8N319
ENSP00000429556_1	Q9Y4B5
ENSP00000366453_5	Q9UDY2
ENSP00000441092_3	Q8IX04
ENSP00000332576_12	Q969R2
ENSP00000429733_2	Q9Y216
ENSP00000305926_10	Q8TE49
ENSP00000472912_2	Q9H0B3
ENSP00000300835_3	Q9BWN1
ENSP00000432724_3	P17097
ENSP00000238667_5	Q9UPI3
ENSP00000429797_4	A8MQ27
ENSP00000356110_1	Q9H1E3
ENSP00000323889_6	Q14258
ENSP00000353990_1	O43497
ENSP00000294600_3	Q2M243
ENSP00000231706_2	Q8TBB6
ENSP00000379176_2	Q00532
ENSP00000428424_3	P07948
ENSP00000370023_2	P40939
ENSP00000438264_2	A6NDA9
ENSP00000407487_7	Q9H3U1
ENSP00000285379_1	P00918
ENSP00000356774_4	Q8N157
ENSP00000392484_4	Q9Y2I1
ENSP00000288071_2	Q9UMR2
ENSP00000373274_5	A6NHJ4
ENSP00000315936_1	Q30201
ENSP00000357671_5	P06241
ENSP00000292427_2	P15538
ENSP00000350295_2	Q0VGE8
ENSP00000261015_3	Q9GZL7
ENSP00000242786_9	P48960
ENSP00000381489_3	Q9BYQ7
ENSP00000387222_1	O95876
ENSP00000290378_1	P68032
ENSP00000411221_5	P20936
ENSP00000359137_2	P19320
ENSP00000398163_2	P0CV98
ENSP00000378286_1	Q9H5J0
ENSP00000295878_3	Q8NCU4
ENSP00000326699_1	O14967
ENSP00000370849_1	Q3MIP1
ENSP00000260682_3	P11712
ENSP00000356444_3	Q5TGI4
ENSP00000378011_1	O00522
ENSP00000426797_1	Q08043
ENSP00000451812_1	Q52LA3
ENSP00000397002_1	C9J3V5
ENSP00000361269_4	Q13905
ENSP00000232165_2	Q05086
ENSP00000364109_2	Q49MI3
ENSP00000338807_6	Q6ZSB9
ENSP00000402084_4	P30291
ENSP00000299481_3	Q86W24
ENSP00000404986_2	Q8WXA3
ENSP00000389140_3	P43146
ENSP00000345464_4	Q6VVB1
ENSP00000363773_3	P02745
ENSP00000348888_2	P01833
ENSP00000391759_1	O60828
ENSP00000385453_2	Q8IU80
ENSP00000405176_3	Q8WVJ9
ENSP00000421259_3	Q15399
ENSP00000237264_1	P62380
ENSP00000311684_9	Q15772
ENSP00000391358_4	Q76KX8
ENSP00000377500_6	Q86SQ0
ENSP00000384887_1	Q7Z692
ENSP00000244571_1	Q5JTZ9
ENSP00000245551_1	A9UHW6
ENSP00000269571_8	P04626
ENSP00000262585_4	A2RUS2
ENSP00000369001_1	Q9UBN4
ENSP00000373240_3	Q16877
ENSP00000380071_1	Q6NT04
ENSP00000456242_1	Q6DHV7
ENSP00000338225_2	Q569K4
ENSP00000209540_1	O60431
ENSP00000260777_3	A0MZ66
ENSP00000343062_3	Q6IF00
ENSP00000277817_6	Q5GLZ8
ENSP00000426015_3	Q674X7
ENSP00000280772_14	Q12955
ENSP00000352039_1	Q7RTR2
ENSP00000456799_1	Q6ZN54
ENSP00000364118_1	Q6P1R3
ENSP00000368576_2	Q86XP1
ENSP00000354280_2	P35030
ENSP00000337014_2	Q6ZVN8
ENSP00000440080_1	Q6PEZ8
ENSP00000363748_1	P28221
ENSP00000266542_4	Q9NZP8
ENSP00000374069_5	Q92932
ENSP00000409131_3	Q9NYS7
ENSP00000160373_10	Q8WZ74
ENSP00000331983_3	Q5VZK9
ENSP00000364697_1	P22891
ENSP00000296443_1	Q9NSU2
ENSP00000357804_1	Q5T1C6
ENSP00000441072_1	E9PKD4
ENSP00000360913_1	Q9NWH7
ENSP00000314444_3	Q9P2L0
ENSP00000377700_3	Q9NUY8
ENSP00000384433_6	Q5T7B8
ENSP00000304139_4	O75526
ENSP00000332265_13	O75179
ENSP00000215909_1	P09382
ENSP00000346499_4	Q9P1Q0
ENSP00000343843_1	Q13508
ENSP00000356786_2	P10242
ENSP00000466967_5	Q9NXH9
ENSP00000427259_2	P25101
ENSP00000369346_4	Q6UWY0
ENSP00000284049_1	O14646
ENSP00000379394_6	Q8IVL1
ENSP00000428559_1	Q13239
ENSP00000321544_8	O94819
ENSP00000265069_2	Q96KR1
ENSP00000403310_4	Q16560
ENSP00000404023_3	P31483
ENSP00000273450_3	O75891
ENSP00000354964_6	Q5VUA4
ENSP00000459126_2	O43147
ENSP00000348163_2	P13797
ENSP00000376934_4	Q14687
ENSP00000420354_1	Q5SGD2
ENSP00000262679_1	O43847
ENSP00000396830_4	Q7Z401
ENSP00000323549_1	Q96N87
ENSP00000378677_12	Q96J87
ENSP00000363868_5	O95477
ENSP00000306228_1	O00182
ENSP00000262646_1	P61019
ENSP00000362017_2	Q92674
ENSP00000351555_7	Q9NRL2
ENSP00000456743_2	Q8N4N3
ENSP00000262327_1	P49916
ENSP00000328777_2	P52803
ENSP00000309555_7	P51610
ENSP00000468082_5	P59045
ENSP00000321249_4	Q8N7X8
ENSP00000361875_3	Q8TCV5
ENSP00000420579_2	Q9NQS3
ENSP00000232501_1	Q8WTW4
ENSP00000441661_1	P47736
ENSP00000363084_10	Q96M20
ENSP00000310943_4	Q8NHY2
ENSP00000291440_2	Q8IZJ3
ENSP00000406022_2	O95185
ENSP00000319281_1	P80723
ENSP00000373518_1	Q96PH1
ENSP00000211287_1	O15264
ENSP00000362372_14	Q6RI45
ENSP00000267023_3	Q9BQ15
ENSP00000439495_3	P54868
ENSP00000345491_3	Q9Y5F0
ENSP00000331774_2	Q8NH02
ENSP00000298585_3	Q96E35
ENSP00000321563_1	Q96HJ3
ENSP00000320302_3	Q8NGI8
ENSP00000307821_1	Q8N9I5
ENSP00000240093_3	Q9NPG1
ENSP00000420315_2	Q9BV23
ENSP00000375057_1	P56559
ENSP00000355010_7	Q8N6C5
ENSP00000378719_7	Q86UP2
ENSP00000440451_1	P0C7V5
ENSP00000377569_4	Q9UKJ1
ENSP00000348081_1	Q96AX9
ENSP00000349877_3	Q9HD20
ENSP00000433065_5	Q96CM3
ENSP00000311665_4	Q9BRP4
ENSP00000355982_5	Q8NB59
ENSP00000369365_6	Q02224
ENSP00000357307_3	Q9BT88
ENSP00000382083_1	Q9BXS0
ENSP00000390600_3	Q9Y5Y9
ENSP00000321617_10	Q9H8Y5
ENSP00000429482_2	Q9H788
ENSP00000255432_5	Q9HBX8
ENSP00000431105_2	Q15025
ENSP00000470725_3	Q9UHX3
ENSP00000380340_1	Q8NEJ9
ENSP00000436269_7	Q96FS4
ENSP00000420558_3	Q9UJF2
ENSP00000294868_2	Q9BZQ4
ENSP00000392945_1	Q8NFV4
ENSP00000360689_9	Q9H2K2
ENSP00000268756_4	Q96QT6
ENSP00000339090_5	Q9Y388
ENSP00000265018_5	Q9ULE4
ENSP00000392936_7	A6NLU0
ENSP00000257897_2	Q99490
ENSP00000216185_3	Q99757
ENSP00000246747_1	P36404
ENSP00000312834_3	Q9HAP2
ENSP00000386799_2	Q8IYB7
ENSP00000404092_5	Q96SB8
ENSP00000426159_2	Q8N319
ENSP00000437538_1	Q8IX04
ENSP00000366453_6	Q9UDY2
ENSP00000305926_11	Q8TE49
ENSP00000236693_1	Q9BWP8
ENSP00000432724_4	P17097
ENSP00000429797_5	A8MQ27
ENSP00000472912_3	Q9H0B3
ENSP00000371221_1	Q9Y217
ENSP00000385254_1	Q969R2
ENSP00000429556_2	Q9Y4B5
ENSP00000238667_6	Q9UPI3
ENSP00000323889_7	Q14258
ENSP00000356110_2	Q9H1E3
ENSP00000294600_4	Q2M243
ENSP00000342210_4	Q9UGM3
ENSP00000265734_1	Q00534
ENSP00000407487_8	Q9H3U1
ENSP00000438264_3	A6NDA9
ENSP00000231706_3	Q8TBB6
ENSP00000392484_5	Q9Y2I1
ENSP00000428424_4	P07948
ENSP00000369784_1	A6NHL2
ENSP00000312342_1	Q30201
ENSP00000370023_3	P40939
ENSP00000356774_5	Q8N157
ENSP00000375234_1	Q9BYQ8
ENSP00000288071_3	Q9UMR2
ENSP00000261015_4	Q9GZL7
ENSP00000387222_2	O95876
ENSP00000411221_6	P20936
ENSP00000253004_1	P00966
ENSP00000264381_1	P06276
ENSP00000349918_1	P48960
ENSP00000350295_3	Q0VGE8
ENSP00000428043_1	P15538
ENSP00000399668_1	P0CV99
ENSP00000290378_2	P68032
ENSP00000295878_4	Q8NCU4
ENSP00000359137_3	P19320
ENSP00000356444_4	Q5TGI4
ENSP00000378286_2	Q9H5J0
ENSP00000450842_1	Q3MIR4
ENSP00000260682_4	P11712
ENSP00000378011_2	O00522
ENSP00000370748_1	Q13907
ENSP00000369513_1	Q52LC2
ENSP00000426797_2	Q08043
ENSP00000385467_1	C9J442
ENSP00000364109_3	Q49MI3
ENSP00000257979_1	P30301
ENSP00000338807_7	Q6ZSB9
ENSP00000326699_2	O14967
ENSP00000232165_3	Q05086
ENSP00000299481_4	Q86W24
ENSP00000389140_4	P43146
ENSP00000405176_4	Q8WVJ9
ENSP00000345464_5	Q6VVB1
ENSP00000365311_1	O60829
ENSP00000322617_1	Q8WXA8
ENSP00000367154_1	Q15404
ENSP00000369001_2	Q9UBN4
ENSP00000363773_4	P02745
ENSP00000385453_3	Q8IU80
ENSP00000311684_10	Q15772
ENSP00000348888_3	P01833
ENSP00000377500_7	Q86SQ0
ENSP00000373240_4	Q16877
ENSP00000383920_1	Q76L83
ENSP00000338225_3	Q569K4
ENSP00000260777_4	A0MZ66
ENSP00000456242_2	Q6DHV7
ENSP00000262585_5	A2RUS2
ENSP00000269571_9	P04626
ENSP00000237264_2	P62380
ENSP00000380071_2	Q6NT04
ENSP00000343062_4	Q6IF00
ENSP00000384887_2	Q7Z692
ENSP00000426015_4	Q674X7
ENSP00000456799_2	Q6ZN54
ENSP00000209540_2	O60431
ENSP00000337014_3	Q6ZVN8
ENSP00000364118_2	Q6P1R3
ENSP00000368576_3	Q86XP1
ENSP00000354280_3	P35030
ENSP00000277817_7	Q5GLZ8
ENSP00000264711_1	Q9NZQ0
ENSP00000409131_4	Q9NYS7
ENSP00000440080_2	Q6PEZ8
ENSP00000245551_2	A9UHW6
ENSP00000352039_2	Q7RTR2
ENSP00000363748_2	P28221
ENSP00000374069_6	Q92932
ENSP00000364697_2	P22891
ENSP00000441072_2	E9PKD4
ENSP00000244571_2	Q5JTZ9
ENSP00000369887_1	Q9NWH9
ENSP00000353990_2	O43497
ENSP00000331983_4	Q5VZK9
ENSP00000341818_1	Q5T1H1
ENSP00000377700_4	Q9NUY8
ENSP00000304139_5	O75526
ENSP00000415972_1	Q9NSU2
ENSP00000314444_4	Q9P2L0
ENSP00000386980_1	Q9P1Q0
ENSP00000332265_14	O75179
ENSP00000281243_1	P09417
ENSP00000425354_1	P25101
ENSP00000356786_3	P10242
ENSP00000428559_2	Q13239
ENSP00000384433_7	Q5T7B8
ENSP00000403310_5	Q16560
ENSP00000404023_4	P31483
ENSP00000273450_4	O75891
ENSP00000280772_15	Q12955
ENSP00000321544_9	O94819
ENSP00000348064_1	Q13508
ENSP00000348163_3	P13797
ENSP00000369346_5	Q6UWY0
ENSP00000459126_3	O43147
ENSP00000379396_1	Q8IVL1
ENSP00000396830_5	Q7Z401
ENSP00000284049_2	O14646
ENSP00000420354_2	Q5SGD2
ENSP00000371859_1	Q9NRL2
ENSP00000265069_3	Q96KR1
ENSP00000456743_3	Q8N4N3
ENSP00000439956_1	Q96J87
ENSP00000323549_2	Q96N87
ENSP00000333837_1	P52815
ENSP00000367356_1	Q5VUB5
ENSP00000466967_6	Q9NXH9
ENSP00000376934_5	Q14687
ENSP00000431846_1	P61019
ENSP00000363868_6	O95477
ENSP00000307801_1	Q8TCW7
ENSP00000468196_1	P59045
ENSP00000362018_1	Q92674
ENSP00000160373_11	Q8WZ74
ENSP00000420579_3	Q9NQS3
ENSP00000309555_8	P51610
