chain	clen	end	method	resolution	start	structid	unp
E	1.0	634.0	x-ray diffraction	3.8	440.0	3E1Y	P15170
B	1.0	241.0	x-ray diffraction	2.04	28.0	1FYH	P15260
A	1.0	398.0	x-ray diffraction	1.9	126.0	2FYB	P15291
A	1.0	375.0	solution nmr	-1.0	33.0	2MG0	P15309
A	1.0	297.0	x-ray diffraction	2.3	2.0	1NI2	P15311
A	1.0	235.0	x-ray diffraction	1.55	26.0	4KM6	P15328
A	1.0	414.0	solution nmr	-1.0	19.0	1BHI	P15336
A	1.0	230.0	x-ray diffraction	1.45	2.0	1XD3	P15374
A	1.0	129.0	solution nmr	-1.0	1.0	2K21	P15382
A	1.0	256.0	x-ray diffraction	1.65	3.0	2GDZ	P15428
A	1.0	775.0	solution nmr	-1.0	2.0	2ROR	P15498
B	1.0	315.0	x-ray diffraction	3.3	113.0	4NKQ	P15509
A	1.0	184.0	solution nmr	-1.0	142.0	2RNL	P15514
C	1.0	286.0	x-ray diffraction	3.1	35.0	3INB	P15529
A	1.0	177.0	x-ray diffraction	2.2	1.0	1JXV	P15531
A	1.0	274.0	x-ray diffraction	1.86	2.0	1H69	P15559
V	1.0	232.0	x-ray diffraction	1.7	37.0	1FLT	P15692
A	1.0	293.0	x-ray diffraction	2.5	10.0	2Y7J	P15735
C	1.0	299.0	x-ray diffraction	2.57	22.0	4EN3	P15813
A	1.0	209.0	solution nmr	-1.0	59.0	2LKQ	P15814
A	1.0	2143.0	solution nmr	-1.0	2087.0	3ZNF	P15822
A	1.0	533.0	x-ray diffraction	2.5	42.0	1FSU	P15848
A	1.0	459.0	x-ray diffraction	1.8	15.0	2OSA	P15882
B	1.0	27.0	solution nmr	-1.0	11.0	2KWF	P15884
A	1.0	406.0	x-ray diffraction	2.09	89.0	4JS1	P15907
A	1.0	611.0	x-ray diffraction	1.7	1.0	3U5V	P15923
A	1.0	2811.0	x-ray diffraction	2.95	178.0	3R6N	P15924
D	1.0	358.0	x-ray diffraction	1.98	45.0	3KDF	P15927
A	1.0	162.0	solution nmr	-1.0	60.0	2ACM	P15941
C	1.0	218.0	x-ray diffraction	3.1	27.0	1GXD	P16035
A	1.0	178.0	x-ray diffraction	1.6	18.0	4PZ4	P16070
A	1.0	231.0	x-ray diffraction	1.65	2.0	2QX4	P16083
C	1.0	143.0	x-ray diffraction	2.5	78.0	2DYP	P16104
A	1.0	822.0	x-ray diffraction	1.9	42.0	1G1S	P16109
A	1.0	471.0	x-ray diffraction	2.4	40.0	1K6M	P16118
A	1.0	1736.0	x-ray diffraction	1.61	989.0	4WTW	P16144
A	1.0	277.0	x-ray diffraction	1.77	2.0	3BHJ	P16152
A	1.0	1538.0	x-ray diffraction	2.0	438.0	3F59	P16157
A	1.0	412.0	x-ray diffraction	1.9	34.0	2VIG	P16219
C	1.0	149.0	solution nmr	-1.0	116.0	2LXT	P16220
B	1.0	465.0	x-ray diffraction	3.04	17.0	1LPA	P16233
A	1.0	695.0	x-ray diffraction	2.3	77.0	3WF2	P16278
A	1.0	495.0	x-ray diffraction	2.7	13.0	4ORC	P16298
A	1.0	377.0	x-ray diffraction	1.5	1.0	2CI9	P16333
B	1.0	26.0	x-ray diffraction	1.66	25.0	2RHI	P16401
D	1.0	206.0	x-ray diffraction	2.6	36.0	2X44	P16410
A	1.0	265.0	x-ray diffraction	1.86	25.0	4MZV	P16422
A	1.0	680.0	x-ray diffraction	2.4	69.0	3QFR	P16435
A	1.0	385.0	x-ray diffraction	2.3	17.0	1ITQ	P16444
A	1.0	212.0	x-ray diffraction	2.5	36.0	1EH8	P16455
R	1.0	235.0	x-ray diffraction	3.24	1.0	4I18	P16471
C	1.0	271.0	x-ray diffraction	1.9	24.0	2XWT	P16473
A	1.0	239.0	solution nmr	-1.0	204.0	2CQ7	P16562
A	1.0	301.0	x-ray diffraction	1.93	22.0	4C16	P16581
A	1.0	557.0	solution nmr	-1.0	453.0	2KK6	P16591
A	1.0	451.0	x-ray diffraction	1.8	285.0	2O6L	P16662
E	1.0	131.0	x-ray diffraction	2.9	103.0	1YK1	P16860
A	1.0	232.0	x-ray diffraction	2.15	32.0	3UP1	P16871
A	1.0	330.0	x-ray diffraction	1.9	46.0	3LHR	P17028
A	1.0	269.0	solution nmr	-1.0	74.0	2EPC	P17041
A	1.0	411.0	x-ray diffraction	1.91	18.0	3H55	P17050
A	1.0	385.0	x-ray diffraction	2.2	6.0	3FE1	P17066
A	1.0	185.0	x-ray diffraction	2.65	1.0	2ATX	P17081
A	1.0	89.0	solution nmr	-1.0	51.0	2EZF	P17096
A	1.0	413.0	x-ray diffraction	2.05	2.0	3II0	P17174
A	1.0	507.0	x-ray diffraction	4.0	33.0	3SE3	P17181
A	1.0	487.0	x-ray diffraction	1.7	32.0	1EWF	P17213
A	1.0	670.0	x-ray diffraction	2.8	93.0	3IW4	P17252
A	1.0	367.0	x-ray diffraction	2.1	169.0	1AOX	P17301
A	1.0	259.0	solution nmr	-1.0	234.0	2LL2	P17302
A	1.0	463.0	x-ray diffraction	2.9	46.0	1JDN	P17342
A	1.0	560.0	x-ray diffraction	2.0	103.0	2HDZ	P17480
A	1.0	323.0	x-ray diffraction	2.4	1.0	2FVL	P17516
B	1.0	39.0	x-ray diffraction	2.84	30.0	3U86	P17535
A	1.0	416.0	x-ray diffraction	2.1	42.0	4Z9M	P17540
A	1.0	248.0	x-ray diffraction	2.87	181.0	2YPB	P17542
A	1.0	351.0	x-ray diffraction	2.1	2.0	3AGL	P17612
L	1.0	700.0	x-ray diffraction	2.5	2.0	1KFU	P17655
A	1.0	336.0	x-ray diffraction	1.8	265.0	1GU4	P17676
A	1.0	300.0	x-ray diffraction	2.5	25.0	2DYP	P17693
A	1.0	277.0	x-ray diffraction	2.56	5.0	1L8K	P17706
A	1.0	330.0	x-ray diffraction	1.75	4.0	1MSV	P17707
A	1.0	444.0	x-ray diffraction	2.3	41.0	3DYD	P17735
A	1.0	393.0	x-ray diffraction	1.8	104.0	3HF6	P17752
A	1.0	502.0	solution nmr	-1.0	97.0	2LM2	P17787
A	1.0	273.0	x-ray diffraction	2.8	1.0	2VO1	P17812
A	1.0	304.0	x-ray diffraction	2.7	52.0	4A4D	P17844
A	1.0	193.0	x-ray diffraction	1.8	32.0	2AG4	P17900
A	1.0	1133.0	solution nmr	-1.0	42.0	1PPQ	P17927
A	1.0	250.0	x-ray diffraction	1.2	112.0	4R9B	P17931
X	1.0	1158.0	x-ray diffraction	1.7	129.0	1FLT	P17948
A	1.0	301.0	x-ray diffraction	2.2	1.0	2VEY	P18031
A	1.0	662.0	x-ray diffraction	2.6	176.0	3D3L	P18054
A	1.0	325.0	solution nmr	-1.0	220.0	2H7T	P18065
A	1.0	431.0	x-ray diffraction	3.3	320.0	1LX5	P18075
A	1.0	178.0	x-ray diffraction	2.7	4.0	1Z6X	P18085
A	1.0	421.0	x-ray diffraction	2.09	335.0	4R2D	P18146
A	1.0	1134.0	x-ray diffraction	2.66	1.0	4EHP	P18206
A	1.0	187.0	x-ray diffraction	2.1	4.0	2HE3	P18283
A	1.0	290.0	x-ray diffraction	1.7	2.0	2IJA	P18440
A	1.0	169.0	solution nmr	-1.0	132.0	2D2P	P18509
A	1.0	180.0	solution nmr	-1.0	1.0	1IRP	P18510
C	1.0	87.0	x-ray diffraction	2.99	71.0	3JWR	P18545
B	1.0	491.0	x-ray diffraction	2.85	22.0	4UM8	P18564
A	1.0	350.0	solution nmr	-1.0	261.0	2JX2	P18615
B	1.0	246.0	x-ray diffraction	2.08	2.0	4GPI	P18669
A	1.0	452.0	x-ray diffraction	1.7	1.0	1A12	P18754
C	1.0	310.0	x-ray diffraction	1.85	303.0	4GVD	P18827
A	1.0	341.0	x-ray diffraction	2.6	286.0	1CI6	P18848
A	1.0	901.0	x-ray diffraction	3.0	262.0	1X9N	P18858
A	1.0	633.0	solution nmr	-1.0	1.0	1XNA	P18887
A	1.0	503.0	x-ray diffraction	2.49	34.0	4DVQ	P19099
A	1.0	477.0	x-ray diffraction	1.8	2.0	4E1O	P19113
A	1.0	851.0	solution nmr	-1.0	547.0	1HSQ	P19174
C	1.0	284.0	x-ray diffraction	2.85	31.0	4Y5Y	P19235
B	1.0	123.0	x-ray diffraction	3.2	29.0	1QA9	P19256
A	1.0	223.0	x-ray diffraction	1.9	25.0	1VSC	P19320
A	1.0	652.0	solution nmr	-1.0	300.0	2KRR	P19338
N	1.0	949.0	x-ray diffraction	2.8	1.0	1DGK	P19367
C	1.0	90.0	x-ray diffraction	2.1	5.0	1DUX	P19419
I	1.0	191.0	solution nmr	-1.0	35.0	2MZP	P19429
R	1.0	442.0	x-ray diffraction	2.85	41.0	1TNR	P19438
A	1.0	569.0	x-ray diffraction	1.67	33.0	4GDX	P19440
A	1.0	730.0	x-ray diffraction	1.8	502.0	4ERN	P19447
B	1.0	465.0	x-ray diffraction	2.35	287.0	2IWG	P19474
B	1.0	541.0	x-ray diffraction	2.5	1.0	2A19	P19525
A	1.0	293.0	x-ray diffraction	1.79	174.0	4R2P	P19544
A	1.0	302.0	x-ray diffraction	2.0	6.0	3RW9	P19623
A	1.0	685.0	solution nmr	-1.0	155.0	2KBV	P19634
A	1.0	196.0	x-ray diffraction	2.1	19.0	3APU	P19652
X	1.0	334.0	x-ray diffraction	3.2	1.0	3E3B	P19784
A	1.0	462.0	x-ray diffraction	2.5	127.0	4OC7	P19793
A	1.0	770.0	x-ray diffraction	2.15	27.0	3HII	P19801
A	1.0	894.0	solution nmr	-1.0	41.0	2DBF	P19838
A	1.0	107.0	solution nmr	-1.0	39.0	1QNK	P19875
A	1.0	516.0	x-ray diffraction	2.0	1.0	1OEY	P19878
C	1.0	328.0	x-ray diffraction	2.15	30.0	3HH2	P19883
A	1.0	117.0	solution nmr	-1.0	61.0	2REL	P19957
A	1.0	486.0	x-ray diffraction	2.31	32.0	2J0F	P19971
B	1.0	153.0	x-ray diffraction	2.04	21.0	1GHQ	P20023
A	1.0	212.0	x-ray diffraction	2.6	32.0	4P57	P20036
A	1.0	433.0	x-ray diffraction	2.35	24.0	4KKI	P20061
A	1.0	427.0	x-ray diffraction	3.2	19.0	2BB5	P20062
A	1.0	322.0	x-ray diffraction	1.3	4.0	4H27	P20132
P	1.0	388.0	x-ray diffraction	2.36	17.0	1AVF	P20142
A	1.0	261.0	x-ray diffraction	1.9	25.0	4NFE	P20151
A	1.0	84.0	solution nmr	-1.0	23.0	2JXD	P20155
A	1.0	251.0	x-ray diffraction	1.89	27.0	1FY3	P20160
B	1.0	338.0	x-ray diffraction	2.65	159.0	1C9B	P20226
D	1.0	432.0	x-ray diffraction	2.8	172.0	2WMA	P20248
A	1.0	162.0	x-ray diffraction	2.5	97.0	3LKX	P20290
A	1.0	149.0	x-ray diffraction	4.0	1.0	2Q7R	P20292
A	1.0	289.0	solution nmr	-1.0	271.0	2CSA	P20309
G	1.0	428.0	x-ray diffraction	2.3	37.0	1CA9	P20333
A	1.0	187.0	x-ray diffraction	1.9	18.0	3DZ8	P20337
A	1.0	189.0	x-ray diffraction	1.92	7.0	1Z0K	P20338
A	1.0	184.0	x-ray diffraction	1.55	15.0	1N6R	P20339
A	1.0	177.0	x-ray diffraction	3.2	12.0	3CWZ	P20340
A	1.0	107.0	solution nmr	-1.0	58.0	2B19	P20366
A	1.0	611.0	x-ray diffraction	2.8	127.0	1HLZ	P20393
A	1.0	110.0	solution nmr	-1.0	1.0	1RJV	P20472
B	1.0	1129.0	x-ray diffraction	3.09	225.0	3THW	P20585
A	1.0	662.0	x-ray diffraction	3.3	44.0	4P4S	P20591
A	1.0	711.0	x-ray diffraction	3.2	93.0	4WHJ	P20592
E	1.0	277.0	x-ray diffraction	2.2	270.0	1JUQ	P20645
A	1.0	549.0	solution nmr	-1.0	311.0	2KPW	P20700
A	1.0	1170.0	x-ray diffraction	3.0	152.0	1ZOO	P20701
A	1.0	1163.0	x-ray diffraction	2.9	20.0	4NEN	P20702
B	1.0	480.0	x-ray diffraction	3.24	1.0	3RBL	P20711
A	1.0	246.0	x-ray diffraction	2.7	21.0	3TJU	P20718
A	1.0	360.0	x-ray diffraction	1.86	133.0	1K1A	P20749
A	1.0	269.0	x-ray diffraction	2.15	149.0	1B8K	P20783
A	1.0	821.0	x-ray diffraction	2.45	647.0	4OKH	P20807
A	1.0	199.0	x-ray diffraction	2.09	34.0	4MHL	P20809
A	1.0	491.0	x-ray diffraction	2.1	28.0	4RQL	P20813
A	1.0	32.0	x-ray diffraction	1.4	2.0	2GYP	P20823
B	1.0	148.0	x-ray diffraction	2.81	18.0	3MBW	P20827
A	1.0	256.0	x-ray diffraction	1.8	42.0	2UUR	P20849
A	1.0	8525.0	solution nmr	-1.0	8466.0	1NEB	P20929
A	1.0	92.0	x-ray diffraction	2.2	2.0	4PCW	P20930
A	1.0	346.0	x-ray diffraction	2.0	25.0	1APY	P20933
A	1.0	1041.0	solution nmr	-1.0	281.0	2GQI	P20936
B	1.0	150.0	x-ray diffraction	3.7	31.0	3IOZ	P20963
B	1.0	225.0	x-ray diffraction	2.8	2.0	3GTU	P21266
A	1.0	2647.0	x-ray diffraction	2.3	37.0	3HOC	P21333
A	1.0	1837.0	x-ray diffraction	2.65	1206.0	3P7Z	P21359
A	1.0	524.0	x-ray diffraction	2.17	12.0	2Z5Y	P21397
A	1.0	889.0	x-ray diffraction	2.54	2.0	2B3X	P21399
A	1.0	326.0	x-ray diffraction	3.35	16.0	3V2W	P21453
A	1.0	392.0	x-ray diffraction	1.9	4.0	2YOB	P21549
A	1.0	414.0	solution nmr	-1.0	338.0	2KOE	P21554
A	1.0	422.0	x-ray diffraction	1.95	36.0	4V11	P21579
I	1.0	790.0	x-ray diffraction	2.5	3.0	3OJ3	P21580
A	1.0	166.0	x-ray diffraction	2.2	27.0	1SCF	P21583
A	1.0	549.0	x-ray diffraction	1.55	27.0	4H2G	P21589
A	1.0	171.0	x-ray diffraction	1.95	2.0	2B3V	P21673
A	1.0	1653.0	x-ray diffraction	1.5	588.0	4YYM	P21675
A	1.0	349.0	x-ray diffraction	2.5	1.0	1WPQ	P21695
A	1.0	974.0	solution nmr	-1.0	536.0	2K1L	P21709
A	1.0	126.0	solution nmr	-1.0	23.0	1MKC	P21741
A	1.0	283.0	solution nmr	-1.0	1.0	2K4T	P21796
A	1.0	773.0	x-ray diffraction	2.55	32.0	4J97	P21802
A	1.0	994.0	x-ray diffraction	3.1	25.0	4RIW	P21860
B	1.0	392.0	x-ray diffraction	1.72	52.0	1X7Z	P21953
B	1.0	266.0	x-ray diffraction	2.3	48.0	4XUE	P21964
A	1.0	687.0	x-ray diffraction	2.5	1.0	3S3P	P21980
A	1.0	204.0	x-ray diffraction	1.2	104.0	4BGC	P22001
B	1.0	513.0	x-ray diffraction	2.5	409.0	2R52	P22004
A	1.0	750.0	x-ray diffraction	1.95	27.0	2XIQ	P22033
B	1.0	379.0	solution nmr	-1.0	346.0	2RR3	P22059
A	1.0	226.0	x-ray diffraction	1.5	3.0	1I1N	P22061
A	1.0	1010.0	x-ray diffraction	2.45	1.0	2QK4	P22102
A	1.0	4024.0	solution nmr	-1.0	3654.0	2CUI	P22105
A	1.0	320.0	x-ray diffraction	1.62	108.0	4OY9	P22223
A	1.0	432.0	x-ray diffraction	2.8	7.0	2H31	P22234
A	1.0	178.0	x-ray diffraction	1.91	24.0	1LK3	P22301
A	1.0	608.0	x-ray diffraction	2.6	35.0	4EY8	P22303
A	1.0	547.0	solution nmr	-1.0	425.0	1QND	P22307
A	1.0	431.0	x-ray diffraction	2.75	50.0	4P22	P22314
A	1.0	223.0	x-ray diffraction	1.85	36.0	2R37	P22352
A	1.0	96.0	solution nmr	-1.0	23.0	1EL0	P22362
A	1.0	267.0	x-ray diffraction	1.7	1.0	3BBF	P22392
A	1.0	189.0	solution nmr	-1.0	147.0	2YS0	P22413
A	1.0	260.0	x-ray diffraction	2.9	197.0	1AN4	P22415
A	1.0	753.0	x-ray diffraction	3.4	445.0	4TYI	P22455
B	1.0	757.0	x-ray diffraction	3.2	150.0	1RY7	P22607
A	1.0	103.0	solution nmr	-1.0	1.0	1X4B	P22626
P	1.0	513.0	x-ray diffraction	1.5	438.0	1DP7	P22670
A	1.0	503.0	x-ray diffraction	2.75	25.0	3SN5	P22680
B	1.0	906.0	x-ray diffraction	1.45	47.0	3BUW	P22681
G	1.0	250.0	x-ray diffraction	2.1	22.0	2DSR	P22692
A	1.0	787.0	x-ray diffraction	2.3	693.0	2XZZ	P22735
B	1.0	611.0	x-ray diffraction	2.49	371.0	4RZE	P22736
A	1.0	284.0	x-ray diffraction	2.8	20.0	1ZNC	P22748
A	1.0	136.0	x-ray diffraction	0.92	63.0	1L9L	P22749
A	1.0	429.0	x-ray diffraction	2.35	71.0	2PNJ	P22830
B	1.0	422.0	x-ray diffraction	2.3	111.0	3F1S	P22891
A	1.0	262.0	x-ray diffraction	1.8	99.0	1ZP5	P22894
A	1.0	178.0	x-ray diffraction	2.4	2.0	1HA4	P22914
B	1.0	210.0	solution nmr	-1.0	67.0	2JNW	P23025
A	1.0	555.0	x-ray diffraction	3.2	22.0	1YAJ	P23141
A	1.0	301.0	solution nmr	-1.0	132.0	1TFI	P23193
A	1.0	597.0	x-ray diffraction	3.0	276.0	4WIK	P23246
A	1.0	446.0	x-ray diffraction	2.3	2.0	3CB2	P23258
A	1.0	280.0	x-ray diffraction	1.9	32.0	3FE4	P23280
A	1.0	216.0	x-ray diffraction	1.2	34.0	3ICH	P23284
A	1.0	94.0	solution nmr	-1.0	2.0	2LP3	P23297
A	1.0	573.0	x-ray diffraction	2.3	20.0	1PJ2	P23368
A	1.0	471.0	x-ray diffraction	2.1	7.0	1R6T	P23381
A	1.0	111.0	solution nmr	-1.0	17.0	1WH9	P23396
A	1.0	453.0	solution nmr	-1.0	244.0	2M6I	P23415
A	1.0	417.0	x-ray diffraction	3.01	80.0	4L46	P23443
A	1.0	1154.0	x-ray diffraction	2.35	564.0	4IVC	P23458
A	1.0	2188.0	x-ray diffraction	1.85	1.0	2I3U	P23467
A	1.0	607.0	solution nmr	-1.0	21.0	2DLH	P23468
A	1.0	691.0	x-ray diffraction	3.2	111.0	2JJD	P23469
A	1.0	1412.0	x-ray diffraction	2.4	58.0	2NLK	P23470
A	1.0	301.0	x-ray diffraction	2.3	34.0	3S97	P23471
A	1.0	688.0	solution nmr	-1.0	595.0	1H5P	P23497
F	1.0	183.0	x-ray diffraction	2.41	58.0	2HEV	P23510
A	1.0	322.0	x-ray diffraction	3.08	262.0	4AWL	P23511
A	1.0	432.0	x-ray diffraction	2.5	2.0	3NJ4	P23526
A	1.0	166.0	solution nmr	-1.0	1.0	1Q8G	P23528
A	1.0	326.0	x-ray diffraction	2.75	218.0	1B8M	P23560
H	1.0	126.0	x-ray diffraction	2.0	109.0	1JDP	P23582
A	1.0	178.0	solution nmr	-1.0	88.0	1WI8	P23588
B	1.0	1113.0	solution nmr	-1.0	1086.0	1CFF	P23634
A	1.0	461.0	x-ray diffraction	1.95	165.0	1W2C	P23677
A	1.0	116.0	solution nmr	-1.0	1.0	1TUZ	P23743
A	1.0	277.0	x-ray diffraction	1.95	219.0	3CMY	P23760
A	1.0	368.0	x-ray diffraction	2.65	260.0	4HC7	P23771
A	1.0	212.0	x-ray diffraction	1.9	3.0	1NN1	P23919
A	1.0	742.0	x-ray diffraction	3.11	1.0	3HNE	P23921
A	1.0	247.0	x-ray diffraction	1.82	22.0	4AFU	P23946
A	1.0	1364.0	x-ray diffraction	1.19	1180.0	4YEP	P24043
C	1.0	216.0	x-ray diffraction	3.1	22.0	1OW0	P24071
D	1.0	248.0	x-ray diffraction	2.2	28.0	1FUJ	P24158
A	1.0	267.0	x-ray diffraction	2.8	6.0	2W99	P24385
B	1.0	499.0	x-ray diffraction	2.93	26.0	3BPL	P24394
A	1.0	407.0	x-ray diffraction	1.48	175.0	3CJW	P24468
A	1.0	165.0	solution nmr	-1.0	1.0	2KG4	P24522
A	1.0	225.0	solution nmr	-1.0	136.0	1B64	P24534
E	1.0	412.0	x-ray diffraction	2.0	336.0	3LL8	P24588
A	1.0	240.0	solution nmr	-1.0	161.0	1RMJ	P24592
A	1.0	105.0	solution nmr	-1.0	60.0	1BOE	P24593
A	1.0	158.0	x-ray diffraction	2.2	2.0	5PNT	P24666
A	1.0	679.0	x-ray diffraction	2.05	5.0	3TXO	P24723
A	1.0	427.0	x-ray diffraction	2.0	35.0	2F2S	P24752
A	1.0	893.0	x-ray diffraction	1.8	802.0	1TEN	P24821
A	1.0	282.0	x-ray diffraction	1.95	23.0	4AWN	P24855
B	1.0	265.0	x-ray diffraction	2.4	1.0	4CRL	P24863
B	1.0	372.0	x-ray diffraction	2.15	103.0	1W98	P24864
A	1.0	298.0	x-ray diffraction	2.2	1.0	4EOR	P24941
C	1.0	29.0	solution nmr	-1.0	9.0	1ILQ	P25024
A	1.0	360.0	x-ray diffraction	1.44	356.0	4Q3H	P25025
B	1.0	2843.0	x-ray diffraction	2.1	2.0	1V18	P25054
A	1.0	671.0	x-ray diffraction	2.75	29.0	3CIK	P25098
A	1.0	364.0	solution nmr	-1.0	2.0	2KSB	P25103
C	1.0	378.0	x-ray diffraction	2.2	33.0	3HKI	P25116
A	1.0	150.0	x-ray diffraction	2.1	30.0	3OAI	P25189
A	1.0	143.0	x-ray diffraction	1.5	52.0	4CSR	P25208
A	1.0	298.0	x-ray diffraction	1.95	22.0	1T7V	P25311
A	1.0	288.0	x-ray diffraction	2.5	11.0	3OLH	P25325
A	1.0	455.0	x-ray diffraction	1.8	71.0	2DVV	P25440
A	1.0	335.0	solution nmr	-1.0	52.0	1DDF	P25445
C	1.0	408.0	x-ray diffraction	2.49	206.0	4C5I	P25490
A	1.0	340.0	x-ray diffraction	2.51	2.0	3AGZ	P25685
A	1.0	71.0	solution nmr	-1.0	1.0	2LGW	P25686
A	1.0	68.0	solution nmr	-1.0	32.0	2FJ5	P25713
A	1.0	331.0	x-ray diffraction	1.58	18.0	4P6G	P25774
A	1.0	225.0	x-ray diffraction	2.8	31.0	2XJZ	P25791
B	1.0	95.0	solution nmr	-1.0	1.0	2MJW	P25815
I	1.0	266.0	x-ray diffraction	2.0	21.0	1D00	P25942
E	1.0	293.0	x-ray diffraction	2.7	70.0	1NFI	P25963
C	1.0	789.0	x-ray diffraction	2.1	100.0	2BRQ	P26010
A	1.0	576.0	x-ray diffraction	3.5	2.0	1SGH	P26038
A	1.0	908.0	x-ray diffraction	1.86	628.0	4QUN	P26045
B	1.0	473.0	x-ray diffraction	1.75	94.0	4CRW	P26196
A	1.0	1616.0	x-ray diffraction	2.31	351.0	3EPZ	P26358
A	1.0	291.0	solution nmr	-1.0	4.0	2CUE	P26367
A	1.0	475.0	x-ray diffraction	1.99	90.0	4TU9	P26368
A	1.0	210.0	x-ray diffraction	1.8	44.0	1FXL	P26378
A	1.0	394.0	x-ray diffraction	2.6	38.0	1IVH	P26440
1	1.0	187.0	x-ray diffraction	2.4	11.0	1CNT	P26441
A	1.0	101.0	x-ray diffraction	1.63	1.0	2Q91	P26447
A	1.0	557.0	x-ray diffraction	1.4	49.0	3ZZY	P26599
A	1.0	756.0	solution nmr	-1.0	79.0	1WWT	P26639
A	1.0	437.0	solution nmr	-1.0	276.0	1PBU	P26641
B	1.0	325.0	x-ray diffraction	1.55	314.0	4J8S	P26651
A	1.0	52.0	solution nmr	-1.0	1.0	1ZLL	P26678
B	1.0	232.0	solution nmr	-1.0	1.0	2YU7	P26715
A	1.0	215.0	x-ray diffraction	1.99	88.0	4PDC	P26718
A	1.0	142.0	x-ray diffraction	1.8	41.0	2PBC	P26885
C	1.0	291.0	x-ray diffraction	2.8	24.0	4JZJ	P26951
A	1.0	305.0	solution nmr	-1.0	202.0	1UC6	P26992
A	1.0	199.0	x-ray diffraction	1.95	23.0	3QK3	P26998
A	1.0	486.0	x-ray diffraction	2.05	191.0	4ASX	P27037
A	1.0	223.0	x-ray diffraction	2.15	4.0	2AR7	P27144
A	1.0	501.0	x-ray diffraction	2.0	3.0	2V60	P27338
A	1.0	230.0	x-ray diffraction	2.8	1.0	2BTP	P27348
A	1.0	417.0	x-ray diffraction	2.6	25.0	2PMV	P27352
A	1.0	375.0	x-ray diffraction	1.4	24.0	4QTB	P27361
A	1.0	367.0	x-ray diffraction	2.7	48.0	2QNJ	P27448
A	1.0	148.0	x-ray diffraction	1.5	5.0	1GGZ	P27482
A	1.0	766.0	x-ray diffraction	2.85	36.0	3O95	P27487
B	1.0	470.0	x-ray diffraction	1.5	355.0	3H82	P27540
A	1.0	176.0	x-ray diffraction	2.5	40.0	2PA2	P27635
A	1.0	616.0	x-ray diffraction	1.4	1.0	4LUV	P27694
A	1.0	318.0	x-ray diffraction	1.65	38.0	4QHD	P27695
A	1.0	260.0	x-ray diffraction	2.0	18.0	4Q18	P27707
A	1.0	1839.0	x-ray diffraction	1.52	1460.0	4C6P	P27708
A	1.0	367.0	x-ray diffraction	1.55	18.0	3POW	P27797
A	1.0	661.0	x-ray diffraction	2.1	329.0	2QYK	P27815
C	1.0	343.0	x-ray diffraction	3.3	28.0	3O4O	P27930
B	1.0	724.0	x-ray diffraction	2.8	2.0	3HHM	P27986
A	1.0	229.0	x-ray diffraction	2.27	38.0	2BC4	P28067
B	1.0	217.0	x-ray diffraction	2.27	21.0	2BC4	P28068
A	1.0	218.0	x-ray diffraction	1.35	2.0	2C4J	P28161
A	1.0	387.0	x-ray diffraction	2.7	38.0	4IAR	P28222
G	1.0	349.0	x-ray diffraction	1.8	58.0	4PKG	P28289
C	1.0	156.0	x-ray diffraction	1.93	1.0	1BC8	P28324
A	1.0	142.0	x-ray diffraction	2.5	31.0	1RN7	P28325
A	1.0	727.0	x-ray diffraction	2.27	126.0	2FY3	P28329
A	1.0	89.0	solution nmr	-1.0	13.0	2HZD	P28347
E	1.0	473.0	x-ray diffraction	2.97	26.0	4COF	P28472
A	1.0	360.0	x-ray diffraction	2.58	4.0	4XJ0	P28482
A	1.0	217.0	x-ray diffraction	1.7	53.0	1K94	P28676
A	1.0	128.0	solution nmr	-1.0	37.0	2FI2	P28698
A	1.0	532.0	x-ray diffraction	2.9	298.0	1UHL	P28702
A	1.0	967.0	x-ray diffraction	2.25	391.0	4YOZ	P28749
A	1.0	417.0	solution nmr	-1.0	123.0	2JYE	P28799
A	1.0	1169.0	x-ray diffraction	2.7	21.0	2C9A	P28827
A	1.0	292.0	x-ray diffraction	1.8	24.0	1XU7	P28845
A	1.0	298.0	x-ray diffraction	1.69	45.0	4F46	P28907
G	1.0	583.0	x-ray diffraction	2.0	576.0	1D01	P28908
A	1.0	298.0	x-ray diffraction	2.26	21.0	1GZQ	P29016
A	1.0	217.0	x-ray diffraction	3.5	2.0	2ZW3	P29033
A	1.0	93.0	x-ray diffraction	1.3	1.0	4DUQ	P29034
A	1.0	612.0	x-ray diffraction	1.91	507.0	3NFL	P29074
A	1.0	439.0	solution nmr	-1.0	113.0	2JTX	P29083
A	1.0	146.0	solution nmr	-1.0	66.0	1D8K	P29084
A	1.0	336.0	x-ray diffraction	2.6	62.0	1IMC	P29218
A	1.0	317.0	x-ray diffraction	2.6	2.0	4UHR	P29274
A	1.0	976.0	x-ray diffraction	1.5	25.0	4P2K	P29317
A	1.0	906.0	x-ray diffraction	2.1	29.0	4GK4	P29320
A	1.0	1000.0	x-ray diffraction	2.15	437.0	3KUL	P29322
A	1.0	985.0	x-ray diffraction	2.2	20.0	1F0M	P29323
A	1.0	530.0	x-ray diffraction	1.8	1.0	4HJQ	P29350
A	1.0	584.0	solution nmr	-1.0	111.0	2L1C	P29353
A	1.0	295.0	x-ray diffraction	2.2	80.0	3QI5	P29372
A	1.0	138.0	x-ray diffraction	2.57	2.0	4M7M	P29373
