pdbid	transcript	conflicts	perc_conflicts	range_conflicts	perc_range_conflicts	mismatch_conflicts	perc_mistmatch_conflicts
1E0O	ENST00000369061	90	0.46	0	0	90	0.46
3GR4	ENST00000565184	22	0.04	0	0	22	0.04
3GR4	ENST00000565154	22	0.04	0	0	22	0.04
3GR4	ENST00000568459	22	0.04	0	0	22	0.04
3GR4	ENST00000449901	478	0.92	15	0.03	463	0.89
3GR4	ENST00000319622	22	0.04	0	0	22	0.04
3GR4	ENST00000389093	22	0.04	0	0	22	0.04
3GR4	ENST00000565184	22	0.04	0	0	22	0.04
3GR4	ENST00000565154	22	0.04	0	0	22	0.04
3GR4	ENST00000568459	22	0.04	0	0	22	0.04
3GR4	ENST00000449901	466	0.92	15	0.03	451	0.89
3GR4	ENST00000319622	22	0.04	0	0	22	0.04
3GR4	ENST00000389093	22	0.04	0	0	22	0.04
3GR4	ENST00000565184	22	0.04	0	0	22	0.04
3GR4	ENST00000565154	22	0.04	0	0	22	0.04
3GR4	ENST00000568459	22	0.04	0	0	22	0.04
3GR4	ENST00000449901	474	0.92	12	0.02	462	0.9
3GR4	ENST00000319622	22	0.04	0	0	22	0.04
3GR4	ENST00000389093	22	0.04	0	0	22	0.04
3GR4	ENST00000565184	22	0.04	0	0	22	0.04
3GR4	ENST00000565154	22	0.04	0	0	22	0.04
3GR4	ENST00000568459	22	0.04	0	0	22	0.04
3GR4	ENST00000449901	469	0.92	15	0.03	454	0.89
3GR4	ENST00000319622	22	0.04	0	0	22	0.04
3GR4	ENST00000389093	22	0.04	0	0	22	0.04
3GRT	ENST00000221130	433	0.94	0	0	433	0.94
3GRT	ENST00000546342	431	0.93	0	0	431	0.93
3GRT	ENST00000541648	434	0.94	9	0.02	425	0.92
3GRT	ENST00000537535	439	0.95	38	0.08	401	0.87
3GRT	ENST00000414019	431	0.93	0	0	431	0.93
3GRW	ENST00000340107	191	0.93	0	0	191	0.93
3GRS	ENST00000221130	432	0.94	0	0	432	0.94
3GRS	ENST00000546342	430	0.93	0	0	430	0.93
3GRS	ENST00000541648	433	0.94	9	0.02	424	0.92
3GRS	ENST00000537535	438	0.95	38	0.08	400	0.87
3GRS	ENST00000414019	431	0.93	0	0	431	0.93
3GRO	ENST00000449045	247	0.92	100	0.37	147	0.55
3GRO	ENST00000449045	246	0.92	99	0.37	147	0.55
3GRG	ENST00000237014	2	0.02	0	0	2	0.02
3GRG	ENST00000237014	2	0.02	0	0	2	0.02
3GRG	ENST00000237014	2	0.02	0	0	2	0.02
3GRG	ENST00000237014	2	0.02	0	0	2	0.02
3GRB	ENST00000237014	2	0.02	0	0	2	0.02
3GRB	ENST00000237014	2	0.02	0	0	2	0.02
3GRB	ENST00000237014	2	0.02	0	0	2	0.02
3GRB	ENST00000237014	2	0.02	0	0	2	0.02
1.00E+07	ENST00000221992	1	0	0	0	1	0
1.00E+07	ENST00000405816	1	0	0	0	1	0
3HRZ	ENST00000417261	3	0	1	0	2	0
3HRZ	ENST00000427888	3	0	1	0	2	0
3HRZ	ENST00000399981	4	0.01	1	0	3	0
3HRZ	ENST00000419920	4	0.01	1	0	3	0
3HRZ	ENST00000425368	3	0	1	0	2	0
3HRZ	ENST00000426239	3	0	1	0	2	0
3HRZ	ENST00000419411	3	0	1	0	2	0
3HRZ	ENST00000424727	3	0	1	0	2	0
3HRZ	ENST00000436692	3	0	1	0	2	0
3HRZ	ENST00000455591	3	0	1	0	2	0
3HRZ	ENST00000433503	3	0	1	0	2	0
1NJS	ENST00000361093	200	1	200	1	0	0
1NJS	ENST00000361093	200	1	200	1	0	0
3HGZ	ENST00000265986	13	0.01	0	0	13	0.01
3HGZ	ENST00000371581	938	0.98	536	0.56	402	0.42
3HGZ	ENST00000265986	13	0.01	0	0	13	0.01
3HGZ	ENST00000371581	939	0.98	537	0.56	402	0.42
1CFF	ENST00000357681	19	0.95	0	0	19	0.95
1CFF	ENST00000341360	20	1	0	0	20	1
1CFF	ENST00000367218	20	1	0	0	20	1
1CFF	ENST00000367219	17	0.85	0	0	17	0.85
1CFF	ENST00000391954	20	1	0	0	20	1
1CFG	ENST00000330287	22	1	22	1	0	0
1CFA	ENST00000223642	61	0.86	0	0	61	0.86
1CF7	ENST00000489671	75	0.91	0	0	75	0.91
1CF7	ENST00000486111	33	0.4	0	0	33	0.4
1CF7	ENST00000495310	79	0.96	0	0	79	0.96
1CF7	ENST00000467072	33	0.4	0	0	33	0.4
1CF7	ENST00000499676	33	0.4	0	0	33	0.4
1CF7	ENST00000310282	33	0.4	0	0	33	0.4
1CF4	NULL	1	NULL	NULL	NULL	NULL	NULL
1CF0	ENST00000225655	128	0.93	0	0	128	0.93
1CF0	ENST00000225655	128	0.93	0	0	128	0.93
3ADL	ENST00000456234	66	0.99	0	0	66	0.99
3ADL	ENST00000394357	66	0.99	0	0	66	0.99
3ADS	ENST00000397010	252	0.96	27	0.1	225	0.86
3ADS	ENST00000309576	252	0.96	27	0.1	225	0.86
3ADS	ENST00000397015	252	0.96	27	0.1	225	0.86
3ADS	ENST00000397012	252	0.96	27	0.1	225	0.86
3ADS	ENST00000396999	262	1	262	1	0	0
3ADS	ENST00000397010	241	0.96	20	0.08	221	0.88
3ADS	ENST00000309576	241	0.96	20	0.08	221	0.88
3ADS	ENST00000397015	241	0.96	20	0.08	221	0.88
3ADS	ENST00000397012	241	0.96	20	0.08	221	0.88
3ADS	ENST00000396999	251	1	251	1	0	0
3ADT	ENST00000397010	249	0.96	27	0.1	222	0.86
3ADT	ENST00000309576	249	0.96	27	0.1	222	0.86
3ADT	ENST00000397015	249	0.96	27	0.1	222	0.86
3ADT	ENST00000397012	249	0.96	27	0.1	222	0.86
3ADT	ENST00000396999	259	1	259	1	0	0
3ADT	ENST00000397010	247	0.96	22	0.09	225	0.88
3ADT	ENST00000309576	247	0.96	22	0.09	225	0.88
3ADT	ENST00000397015	247	0.96	22	0.09	225	0.88
3ADT	ENST00000397012	247	0.96	22	0.09	225	0.88
3ADT	ENST00000396999	257	1	257	1	0	0
3ADU	ENST00000397010	249	0.96	27	0.1	222	0.86
3ADU	ENST00000309576	249	0.96	27	0.1	222	0.86
3ADU	ENST00000397015	249	0.96	27	0.1	222	0.86
3ADU	ENST00000397012	249	0.96	27	0.1	222	0.86
3ADU	ENST00000396999	259	1	259	1	0	0
3ADU	ENST00000397010	250	0.96	22	0.08	228	0.87
3ADU	ENST00000309576	250	0.96	22	0.08	228	0.87
3ADU	ENST00000397015	250	0.96	22	0.08	228	0.87
3ADU	ENST00000397012	250	0.96	22	0.08	228	0.87
3ADU	ENST00000396999	261	1	261	1	0	0
3ADV	ENST00000397010	252	0.96	27	0.1	225	0.86
3ADV	ENST00000309576	252	0.96	27	0.1	225	0.86
3ADV	ENST00000397015	252	0.96	27	0.1	225	0.86
3ADV	ENST00000397012	252	0.96	27	0.1	225	0.86
3ADV	ENST00000396999	262	1	262	1	0	0
3ADV	ENST00000397010	247	0.96	20	0.08	227	0.88
3ADV	ENST00000309576	247	0.96	20	0.08	227	0.88
3ADV	ENST00000397015	247	0.96	20	0.08	227	0.88
3ADV	ENST00000397012	247	0.96	20	0.08	227	0.88
3ADV	ENST00000396999	257	1	257	1	0	0
3ADW	ENST00000397010	263	0.96	27	0.1	236	0.86
3ADW	ENST00000309576	263	0.96	27	0.1	236	0.86
3ADW	ENST00000397015	263	0.96	27	0.1	236	0.86
3ADW	ENST00000397012	263	0.96	27	0.1	236	0.86
3ADW	ENST00000396999	274	1	274	1	0	0
3ADW	ENST00000397010	249	0.96	20	0.08	229	0.88
3ADW	ENST00000309576	249	0.96	20	0.08	229	0.88
3ADW	ENST00000397015	249	0.96	20	0.08	229	0.88
3ADW	ENST00000397012	249	0.96	20	0.08	229	0.88
3ADW	ENST00000396999	260	1	260	1	0	0
3ADX	ENST00000397010	263	0.96	27	0.1	236	0.86
3ADX	ENST00000309576	263	0.96	27	0.1	236	0.86
3ADX	ENST00000397015	263	0.96	27	0.1	236	0.86
3ADX	ENST00000397012	263	0.96	27	0.1	236	0.86
3ADX	ENST00000396999	274	1	274	1	0	0
3ADX	ENST00000397010	241	0.96	20	0.08	221	0.88
3ADX	ENST00000309576	241	0.96	20	0.08	221	0.88
3ADX	ENST00000397015	241	0.96	20	0.08	221	0.88
3ADX	ENST00000397012	241	0.96	20	0.08	221	0.88
3ADX	ENST00000396999	251	1	251	1	0	0
1TG2	ENST00000553106	1	0	0	0	1	0
1TG3	ENST00000285379	117	0.45	0	0	117	0.45
1TG9	ENST00000285379	117	0.45	0	0	117	0.45
2A3J	ENST00000243563	86	0.91	0	0	86	0.91
2A3I	ENST00000358102	1	0	0	0	1	0
2A3I	ENST00000405141	12	1	12	1	0	0
2A3I	ENST00000395856	8	0.67	1	0.08	7	0.58
2A3I	ENST00000538539	12	1	12	1	0	0
2A3I	ENST00000288599	12	1	12	1	0	0
2A30	NULL	1	NULL	NULL	NULL	NULL	NULL
2A38	ENST00000436599	173	0.89	0	0	173	0.89
2A38	ENST00000436599	173	0.89	0	0	173	0.89
2A38	ENST00000436599	173	0.89	0	0	173	0.89
1TGR	NULL	1	NULL	NULL	NULL	NULL	NULL
3DZ2	ENST00000368882	55	0.92	0	0	55	0.92
3DZ2	ENST00000368882	244	1	131	0.53	113	0.46
1TGH	ENST00000230354	167	0.93	0	0	167	0.93
1TGH	ENST00000392092	167	0.93	0	0	167	0.93
2GIL	ENST00000310653	150	0.93	0	0	150	0.93
2GIL	ENST00000336083	151	0.94	0	0	151	0.94
2GIL	ENST00000541588	158	0.98	69	0.43	89	0.55
2GIL	ENST00000310653	151	0.93	0	0	151	0.93
2GIL	ENST00000336083	152	0.94	0	0	152	0.94
2GIL	ENST00000541588	159	0.98	69	0.43	90	0.56
2GIL	ENST00000310653	150	0.93	0	0	150	0.93
2GIL	ENST00000336083	151	0.94	0	0	151	0.94
2GIL	ENST00000541588	158	0.98	69	0.43	89	0.55
2GIL	ENST00000310653	150	0.93	0	0	150	0.93
2GIL	ENST00000336083	151	0.94	0	0	151	0.94
2GIL	ENST00000541588	158	0.98	69	0.43	89	0.55
2GIU	ENST00000554572	27	0.12	5	0.02	22	0.1
2GIU	ENST00000358599	27	0.12	5	0.02	22	0.1
2GIU	ENST00000555278	28	0.12	17	0.08	11	0.05
2GIU	ENST00000344288	172	0.76	167	0.74	5	0.02
2GIU	ENST00000557772	28	0.12	24	0.11	4	0.02
2GIU	ENST00000353772	27	0.12	5	0.02	22	0.1
2GIU	ENST00000357782	28	0.12	17	0.08	11	0.05
2GIU	ENST00000267525	164	0.73	57	0.25	107	0.48
3U0X	ENST00000319878	4	0.01	0	0	4	0.01
3U0X	ENST00000319878	4	0.01	0	0	4	0.01
3U0Y	ENST00000319878	1	0	0	0	1	0
3U0Y	ENST00000319878	1	0	0	0	1	0
3U0P	ENST00000368171	3	0.01	0	0	3	0.01
3U0P	ENST00000368171	3	0.01	0	0	3	0.01
3U0P	ENST00000368171	2	0.01	0	0	2	0.01
3U0R	ENST00000420461	366	0.86	0	0	366	0.86
3U0T	ENST00000354192	11	1	11	1	0	0
3U0T	ENST00000348990	11	1	11	1	0	0
3U0T	ENST00000357903	11	1	0	0	11	1
3U0T	ENST00000358918	10	0.91	0	0	10	0.91
3U0T	ENST00000359726	11	1	0	0	11	1
3U0T	ENST00000354192	11	1	11	1	0	0
3U0T	ENST00000348990	11	1	11	1	0	0
3U0T	ENST00000357903	11	1	0	0	11	1
3U0T	ENST00000358918	10	0.91	0	0	10	0.91
3U0T	ENST00000359726	11	1	0	0	11	1
3U0V	ENST00000366928	1	0	0	0	1	0
3U0V	ENST00000366927	156	0.7	9	0.04	147	0.66
3U0D	ENST00000373017	1	0.01	0	0	1	0.01
3U0D	ENST00000277480	1	0.01	0	0	1	0.01
3U0D	ENST00000372998	100	0.57	0	0	100	0.57
3U0D	ENST00000540948	6	0.03	0	0	6	0.03
3U0D	ENST00000373017	1	0.01	0	0	1	0.01
3U0D	ENST00000277480	1	0.01	0	0	1	0.01
3U0D	ENST00000372998	99	0.57	0	0	99	0.57
3U0D	ENST00000540948	6	0.03	0	0	6	0.03
3U0D	ENST00000373017	1	0.01	0	0	1	0.01
3U0D	ENST00000277480	1	0.01	0	0	1	0.01
3U0D	ENST00000372998	100	0.57	0	0	100	0.57
3U0D	ENST00000540948	6	0.03	0	0	6	0.03
3U0D	ENST00000373017	1	0.01	0	0	1	0.01
3U0D	ENST00000277480	1	0.01	0	0	1	0.01
3U0D	ENST00000372998	100	0.57	0	0	100	0.57
3U0D	ENST00000540948	6	0.03	0	0	6	0.03
1RWK	ENST00000526568	163	0.94	0	0	163	0.94
1RWK	ENST00000525825	165	0.95	0	0	165	0.95
1RWK	ENST00000531166	173	1	173	1	0	0
1RWK	ENST00000534497	168	0.97	34	0.2	134	0.77
1RWK	ENST00000415981	173	1	173	1	0	0
1RWK	ENST00000446369	168	0.97	34	0.2	134	0.77
1RWK	ENST00000353247	173	1	173	1	0	0
1RWK	ENST00000393136	165	0.95	0	0	165	0.95
1RWK	ENST00000526568	88	1	88	1	0	0
1RWK	ENST00000525825	84	0.95	21	0.24	63	0.72
1RWK	ENST00000531166	88	1	88	1	0	0
1RWK	ENST00000534497	88	1	88	1	0	0
1RWK	ENST00000415981	88	1	88	1	0	0
1RWK	ENST00000446369	88	1	88	1	0	0
1RWK	ENST00000353247	88	1	88	1	0	0
1RWK	ENST00000393136	84	0.95	21	0.24	63	0.72
2LLH	ENST00000351986	67	0.96	29	0.41	38	0.54
2LLH	ENST00000393820	37	0.53	35	0.5	2	0.03
3MRN	ENST00000457879	1	0	0	0	1	0
3MRN	ENST00000547271	1	0	0	0	1	0
3MRO	ENST00000457879	1	0	0	0	1	0
3MRO	ENST00000547271	1	0	0	0	1	0
3MRO	ENST00000381477	2	0.2	0	0	2	0.2
3MRO	ENST00000381476	2	0.2	0	0	2	0.2
3MRO	ENST00000381471	2	0.2	0	0	2	0.2
3MRM	ENST00000457879	1	0	0	0	1	0
3MRM	ENST00000547271	1	0	0	0	1	0
3MRK	ENST00000457879	1	0	0	0	1	0
3MRK	ENST00000547271	1	0	0	0	1	0
3MRR	ENST00000457879	1	0	0	0	1	0
3MRR	ENST00000547271	1	0	0	0	1	0
3MRP	ENST00000457879	1	0	0	0	1	0
3MRP	ENST00000547271	1	0	0	0	1	0
3MRP	ENST00000381477	3	0.3	0	0	3	0.3
3MRP	ENST00000381476	3	0.3	0	0	3	0.3
3MRP	ENST00000381471	3	0.3	0	0	3	0.3
3MRQ	ENST00000457879	1	0	0	0	1	0
3MRQ	ENST00000547271	1	0	0	0	1	0
3MRQ	ENST00000381477	3	0.3	0	0	3	0.3
3MRQ	ENST00000381476	3	0.3	0	0	3	0.3
3MRQ	ENST00000381471	3	0.3	0	0	3	0.3
3DFL	ENST00000317508	2	0.01	0	0	2	0.01
2LLO	ENST00000456483	16	0.84	0	0	16	0.84
3MR6	ENST00000372226	18	0.04	18	0.04	0	0
3MR5	ENST00000372226	18	0.04	18	0.04	0	0
3MR2	ENST00000372226	18	0.04	18	0.04	0	0
3MR3	ENST00000372226	18	0.04	18	0.04	0	0
1NUB	NULL	1	NULL	NULL	NULL	NULL	NULL
1NUF	ENST00000381458	4	0.01	0	0	4	0.01
1NUG	ENST00000381458	4	0.01	0	0	4	0.01
1NUG	ENST00000381458	4	0.01	0	0	4	0.01
1NUD	ENST00000381458	4	0.01	0	0	4	0.01
1NUD	ENST00000381458	4	0.01	0	0	4	0.01
1NUE	ENST00000393193	48	0.32	0	0	48	0.32
1NUE	ENST00000393193	48	0.32	0	0	48	0.32
1NUE	ENST00000393193	48	0.32	0	0	48	0.32
1NUE	ENST00000393193	48	0.32	0	0	48	0.32
1NUE	ENST00000393193	48	0.32	0	0	48	0.32
1NUE	ENST00000393193	48	0.32	0	0	48	0.32
1NUN	ENST00000358487	42	0.2	0	0	42	0.2
1NUN	ENST00000356226	191	0.93	0	0	191	0.93
1NUN	ENST00000369060	43	0.21	0	0	43	0.21
1NUN	ENST00000346997	42	0.2	0	0	42	0.2
1NUN	ENST00000360144	184	0.9	0	0	184	0.9
1NUN	ENST00000359354	110	0.54	105	0.51	5	0.02
1NUN	ENST00000357555	187	0.91	0	0	187	0.91
1NUN	ENST00000369061	99	0.48	0	0	99	0.48
1NUN	ENST00000351936	42	0.2	0	0	42	0.2
1NUO	ENST00000356447	19	0.08	0	0	19	0.08
1NUO	ENST00000416420	19	0.08	0	0	19	0.08
1NUO	ENST00000280696	229	0.93	0	0	229	0.93
1NUO	ENST00000415021	247	1	247	1	0	0
1NUO	ENST00000447875	247	1	247	1	0	0
1NUO	ENST00000396671	19	0.08	0	0	19	0.08
1NUR	ENST00000339837	200	0.94	20	0.09	180	0.85
1NUR	ENST00000413939	173	0.81	72	0.34	101	0.47
1NUR	ENST00000296202	1	0	0	0	1	0
1NUR	ENST00000406164	200	0.94	20	0.09	180	0.85
1NUR	ENST00000339837	198	0.94	19	0.09	179	0.85
1NUR	ENST00000413939	172	0.82	71	0.34	101	0.48
1NUR	ENST00000296202	1	0	0	0	1	0
1NUR	ENST00000406164	198	0.94	19	0.09	179	0.85
1NUS	ENST00000339837	199	0.94	19	0.09	180	0.85
1NUS	ENST00000413939	172	0.81	71	0.33	101	0.48
1NUS	ENST00000296202	1	0	0	0	1	0
1NUS	ENST00000406164	199	0.94	19	0.09	180	0.85
1NUS	ENST00000339837	199	0.94	19	0.09	180	0.85
1NUS	ENST00000413939	172	0.81	71	0.33	101	0.48
1NUS	ENST00000296202	1	0	0	0	1	0
1NUS	ENST00000406164	199	0.94	19	0.09	180	0.85
1NUP	ENST00000339837	200	0.94	20	0.09	180	0.85
1NUP	ENST00000413939	173	0.81	72	0.34	101	0.47
1NUP	ENST00000296202	1	0	0	0	1	0
1NUP	ENST00000406164	200	0.94	20	0.09	180	0.85
1NUP	ENST00000339837	199	0.94	19	0.09	180	0.85
1NUP	ENST00000413939	172	0.81	71	0.33	101	0.48
1NUP	ENST00000296202	1	0	0	0	1	0
1NUP	ENST00000406164	199	0.94	19	0.09	180	0.85
1NUQ	ENST00000339837	200	0.94	20	0.09	180	0.85
1NUQ	ENST00000413939	173	0.81	72	0.34	101	0.47
1NUQ	ENST00000296202	1	0	0	0	1	0
1NUQ	ENST00000406164	200	0.94	20	0.09	180	0.85
1NUQ	ENST00000339837	199	0.94	19	0.09	180	0.85
1NUQ	ENST00000413939	172	0.81	71	0.33	101	0.48
1NUQ	ENST00000296202	1	0	0	0	1	0
1NUQ	ENST00000406164	199	0.94	19	0.09	180	0.85
1NUT	ENST00000339837	199	0.94	19	0.09	180	0.85
1NUT	ENST00000413939	172	0.81	71	0.33	101	0.48
1NUT	ENST00000296202	1	0	0	0	1	0
1NUT	ENST00000406164	199	0.94	19	0.09	180	0.85
1NUT	ENST00000339837	199	0.94	19	0.09	180	0.85
1NUT	ENST00000413939	172	0.81	71	0.33	101	0.48
1NUT	ENST00000296202	1	0	0	0	1	0
1NUT	ENST00000406164	199	0.94	19	0.09	180	0.85
1NUU	ENST00000339837	200	0.94	20	0.09	180	0.85
1NUU	ENST00000413939	173	0.81	72	0.34	101	0.47
1NUU	ENST00000296202	1	0	0	0	1	0
1NUU	ENST00000406164	200	0.94	20	0.09	180	0.85
1NUU	ENST00000339837	199	0.94	19	0.09	180	0.85
1NUU	ENST00000413939	172	0.81	71	0.33	101	0.48
1NUU	ENST00000296202	1	0	0	0	1	0
1NUU	ENST00000406164	199	0.94	19	0.09	180	0.85
1V4S	ENST00000403799	420	0.94	0	0	420	0.94
1V4S	ENST00000395796	420	0.94	0	0	420	0.94
4A5X	ENST00000397901	13	1	12	0.92	1	0.08
1NU7	ENST00000311907	14	1	0	0	14	1
1NU7	ENST00000311907	199	0.87	0	0	199	0.87
1NU7	ENST00000311907	14	1	0	0	14	1
1NU7	ENST00000311907	199	0.87	0	0	199	0.87
1NU4	ENST00000243563	2	0.02	0	0	2	0.02
1NU4	ENST00000243563	2	0.02	0	0	2	0.02
1NU9	ENST00000311907	233	0.95	0	0	233	0.95
1NU9	ENST00000311907	233	0.95	0	0	233	0.95
1YAQ	ENST00000261267	1	0.01	0	0	1	0.01
1YAP	ENST00000261267	1	0.01	0	0	1	0.01
1DCB	ENST00000285379	116	0.45	0	0	116	0.45
1YAO	ENST00000261267	1	0.01	0	0	1	0.01
1DCA	ENST00000285379	116	0.45	0	0	116	0.45
1DC2	ENST00000498124	4	0.03	0	0	4	0.03
1DC2	ENST00000446177	4	0.03	0	0	4	0.03
1YA0	ENST00000347615	1	0	0	0	1	0
1YA0	ENST00000515829	1	0	0	0	1	0
1YA0	ENST00000347615	1	0	0	0	1	0
1YA0	ENST00000515829	1	0	0	0	1	0
1YA3	ENST00000358102	1	0	0	0	1	0
1YA3	ENST00000358102	1	0	0	0	1	0
1YA3	ENST00000358102	1	0	0	0	1	0
1YA5	ENST00000342992	2	0.01	0	0	2	0.01
1YA5	ENST00000460472	2	0.01	0	0	2	0.01
1YA5	ENST00000360870	2	0.01	0	0	2	0.01
1YA5	ENST00000436599	176	0.89	0	0	176	0.89
1YA5	ENST00000342175	2	0.01	0	0	2	0.01
1YA5	ENST00000359218	2	0.01	0	0	2	0.01
1YA5	ENST00000342992	1	0.01	0	0	1	0.01
1YA5	ENST00000460472	1	0.01	0	0	1	0.01
1YA5	ENST00000360870	1	0.01	0	0	1	0.01
1YA5	ENST00000436599	175	0.89	0	0	175	0.89
1YA5	ENST00000342175	1	0.01	0	0	1	0.01
1YA5	ENST00000359218	1	0.01	0	0	1	0.01
1YA5	ENST00000309889	4	0.04	0	0	4	0.04
1YA4	ENST00000360526	492	0.93	0	0	492	0.93
1YA4	ENST00000360526	493	0.93	0	0	493	0.93
1YA4	ENST00000360526	493	0.93	0	0	493	0.93
2R4H	ENST00000330909	81	0.95	0	0	81	0.95
2R4H	ENST00000402939	80	0.94	0	0	80	0.94
2R4H	ENST00000483466	1	0.01	0	0	1	0.01
2R4H	ENST00000497477	85	1	73	0.86	12	0.14
2R4H	ENST00000330909	81	0.95	0	0	81	0.95
2R4H	ENST00000402939	80	0.94	0	0	80	0.94
2R4H	ENST00000483466	1	0.01	0	0	1	0.01
2R4H	ENST00000497477	85	1	73	0.86	12	0.14
2R4H	ENST00000330909	81	0.95	0	0	81	0.95
2R4H	ENST00000402939	80	0.94	0	0	80	0.94
2R4H	ENST00000483466	1	0.01	0	0	1	0.01
2R4H	ENST00000497477	85	1	73	0.86	12	0.14
2R4F	ENST00000511206	1	0	0	0	1	0
2R4F	ENST00000287936	1	0	0	0	1	0
2R4F	ENST00000343975	315	0.75	25	0.06	290	0.69
2R4F	ENST00000511206	1	0	0	0	1	0
2R4F	ENST00000287936	1	0	0	0	1	0
2R4F	ENST00000343975	315	0.78	25	0.06	290	0.72
2R4F	ENST00000511206	1	0	0	0	1	0
2R4F	ENST00000287936	1	0	0	0	1	0
2R4F	ENST00000343975	315	0.78	25	0.06	290	0.72
2R4F	ENST00000511206	1	0	0	0	1	0
2R4F	ENST00000287936	1	0	0	0	1	0
2R4F	ENST00000343975	315	0.8	25	0.06	290	0.74
2R4B	ENST00000402597	272	0.93	0	0	272	0.93
2R4B	ENST00000402597	271	0.93	0	0	271	0.93
1F2W	ENST00000285379	115	0.45	0	0	115	0.45
4DV9	ENST00000313005	2	0.01	0	0	2	0.01
4DV9	ENST00000428381	276	0.73	14	0.04	262	0.69
4DV9	ENST00000513780	234	0.62	0	0	234	0.62
4DV9	ENST00000445823	276	0.73	0	0	276	0.73
1L0A	ENST00000539721	187	0.97	83	0.43	104	0.54
1L0A	ENST00000403609	18	1	18	1	0	0
1L0A	ENST00000457476	18	1	18	1	0	0
1J1D	ENST00000232975	3	0.02	0	0	3	0.02
1J1D	ENST00000367318	1	0.01	0	0	1	0.01
1J1D	ENST00000367322	67	0.96	0	0	67	0.96
1J1D	ENST00000367320	68	0.97	16	0.23	52	0.74
1J1D	ENST00000509001	1	0.01	0	0	1	0.01
1J1D	ENST00000367317	1	0.01	0	0	1	0.01
1J1D	ENST00000367315	67	0.96	0	0	67	0.96
1J1D	ENST00000344887	108	0.92	0	0	108	0.92
1J1D	ENST00000232975	3	0.02	0	0	3	0.02
1J1D	ENST00000367318	1	0.01	0	0	1	0.01
1J1D	ENST00000367322	71	0.95	0	0	71	0.95
1J1D	ENST00000367320	73	0.97	19	0.25	54	0.72
1J1D	ENST00000509001	1	0.01	0	0	1	0.01
1J1D	ENST00000367317	1	0.01	0	0	1	0.01
1J1D	ENST00000367315	71	0.95	0	0	71	0.95
1J1D	ENST00000344887	107	0.92	0	0	107	0.92
3HX0	ENST00000370169	4	0.01	0	0	4	0.01
3HX0	ENST00000299206	4	0.01	0	0	4	0.01
3HX0	ENST00000370162	4	0.01	0	0	4	0.01
3HX0	ENST00000370169	4	0.01	0	0	4	0.01
3HX0	ENST00000299206	4	0.01	0	0	4	0.01
3HX0	ENST00000370162	4	0.01	0	0	4	0.01
3HX0	ENST00000370169	4	0.01	0	0	4	0.01
3HX0	ENST00000299206	4	0.01	0	0	4	0.01
3HX0	ENST00000370162	4	0.01	0	0	4	0.01
3HX0	ENST00000370169	4	0.01	0	0	4	0.01
3HX0	ENST00000299206	4	0.01	0	0	4	0.01
3HX0	ENST00000370162	4	0.01	0	0	4	0.01
1N0W	ENST00000423169	55	0.27	46	0.23	9	0.04
1N0W	ENST00000557850	196	0.97	69	0.34	127	0.63
1N0W	ENST00000532743	194	0.96	0	0	194	0.96
1N0W	ENST00000382643	194	0.96	0	0	194	0.96
1N0Z	ENST00000370920	4	0.09	0	0	4	0.09
1N0Z	ENST00000254821	4	0.09	0	0	4	0.09
1N0J	ENST00000367054	141	0.71	39	0.2	102	0.52
1N0J	ENST00000337404	141	0.71	39	0.2	102	0.52
1N0J	ENST00000367054	141	0.71	39	0.2	102	0.52
1N0J	ENST00000337404	141	0.71	39	0.2	102	0.52
1N0N	ENST00000367055	1	0.01	0	0	1	0.01
1N0N	ENST00000538183	1	0.01	0	0	1	0.01
1N0N	ENST00000367054	142	0.72	39	0.2	103	0.52
1N0N	ENST00000337404	142	0.72	39	0.2	103	0.52
1N0N	ENST00000367055	1	0.01	0	0	1	0.01
1N0N	ENST00000538183	1	0.01	0	0	1	0.01
1N0N	ENST00000367054	142	0.72	39	0.2	103	0.52
1N0N	ENST00000337404	142	0.72	39	0.2	103	0.52
1YZI	ENST00000251595	134	0.95	0	0	134	0.95
1YZI	ENST00000320868	134	0.95	0	0	134	0.95
1YZI	ENST00000335295	135	0.92	0	0	135	0.92
1YZB	ENST00000340660	163	0.9	0	0	163	0.9
1YZX	ENST00000409500	209	0.96	6	0.03	203	0.93
1YZX	ENST00000443571	208	0.95	37	0.17	171	0.78
1YZX	ENST00000358406	206	0.94	0	0	206	0.94
1YZX	ENST00000479303	209	0.96	0	0	209	0.96
1YZX	ENST00000409500	209	0.96	6	0.03	203	0.93
1YZX	ENST00000443571	208	0.95	37	0.17	171	0.78
1YZX	ENST00000358406	206	0.94	0	0	206	0.94
1YZX	ENST00000479303	209	0.96	0	0	209	0.96
3QCF	ENST00000295874	267	0.94	0	0	267	0.94
3QCF	ENST00000295874	268	0.94	0	0	268	0.94
3QCC	ENST00000295874	267	0.94	0	0	267	0.94
3QCC	ENST00000295874	269	0.94	0	0	269	0.94
3QCB	ENST00000295874	267	0.94	0	0	267	0.94
3QCB	ENST00000295874	269	0.94	0	0	269	0.94
1YZQ	ENST00000336083	3	0.02	0	0	3	0.02
1YZQ	ENST00000541588	116	0.71	73	0.45	43	0.26
4IW4	ENST00000337774	227	0.93	24	0.1	203	0.83
4IW4	ENST00000392472	233	0.95	108	0.44	125	0.51
4IW4	ENST00000169293	244	1	244	1	0	0
